Identity,Average score,Standard Deviation
non-white,0.4760874548858695,0.279761964659141
lgbt-related,0.4668730627025641,0.2660398905951355
white,0.42755365369565224,0.2633157865673726
non-christian,0.42627368771485147,0.2536935485887338
men,0.421959981065625,0.2824119288123845
women,0.4052167570205,0.28181188191458206
christian,0.33872599210526316,0.24276166093223916
All,0.24918120281285713,0.27444423341544794
straight,0.22853284240000002,0.20941150531377103
no identity,0.1484745643912859,0.21870674012772237
disability,0.13768585996875,0.15527294967696947
