Rating,Identity,iFPR,API
R,lgbt-related,2.7407,OctoAI
R,straight,1.7989,OctoAI
R,lgbt-related,1.5897,OpenAI
R,disability,1.5873,OctoAI
R,disability,1.5719,OpenAI
R,non-christian,1.2587,OpenAI
R,christian,1.0847,OctoAI
R,women,1.0105,OpenAI
R,non-white,0.9277,OpenAI
R,men,0.8608,OpenAI
R,women,0.7937,OctoAI
R,white,0.7688,OpenAI
R,non-christian,0.7513,OctoAI
R,non-white,0.7407,OctoAI
R,christian,0.6941,OpenAI
R,straight,0.6332,OpenAI
R,white,0.1958,OctoAI
R,men,0.1481,OctoAI
PG-13,disability,6.1818,OctoAI
PG-13,non-christian,5.3636,OctoAI
PG-13,white,2.7727,OctoAI
PG-13,lgbt-related,1.7739,OpenAI
PG-13,disability,1.6514,OpenAI
PG-13,women,1.5,OctoAI
PG-13,straight,1.5,OctoAI
PG-13,non-christian,1.4253,OpenAI
PG-13,women,1.1696,OpenAI
PG-13,straight,1.0727,OpenAI
PG-13,non-white,0.9596,OpenAI
PG-13,men,0.8331,OpenAI
PG-13,christian,0.4024,OpenAI
PG-13,white,0.2476,OpenAI
PG-13,lgbt-related,0.0,OctoAI
PG-13,non-white,0.0,OctoAI
PG-13,christian,0.0,OctoAI
PG-13,men,0.0,OctoAI
PG,disability,11.1429,OctoAI
PG,white,9.1429,OctoAI
PG,straight,6.4286,OctoAI
PG,lgbt-related,3.8272,OpenAI
PG,women,2.2143,OctoAI
PG,disability,1.7705,OpenAI
PG,women,1.4448,OpenAI
PG,straight,1.2748,OpenAI
PG,non-christian,0.8102,OpenAI
PG,men,0.8045,OpenAI
PG,non-white,0.7365,OpenAI
PG,white,0.7252,OpenAI
PG,christian,0.2946,OpenAI
PG,lgbt-related,0.0,OctoAI
PG,non-white,0.0,OctoAI
PG,christian,0.0,OctoAI
PG,non-christian,0.0,OctoAI
PG,men,0.0,OctoAI
NC-17,lgbt-related,3.1436,OctoAI
NC-17,straight,1.6832,OctoAI
NC-17,lgbt-related,1.6128,OpenAI
NC-17,disability,1.5792,OctoAI
NC-17,disability,1.5742,OpenAI
NC-17,non-christian,1.2478,OpenAI
NC-17,christian,1.2129,OctoAI
NC-17,women,1.0113,OpenAI
NC-17,non-white,0.9265,OpenAI
NC-17,men,0.8534,OpenAI
NC-17,women,0.8317,OctoAI
NC-17,white,0.7594,OpenAI
NC-17,non-white,0.7376,OctoAI
NC-17,christian,0.704,OpenAI
NC-17,non-christian,0.703,OctoAI
NC-17,straight,0.6278,OpenAI
NC-17,white,0.1832,OctoAI
NC-17,men,0.1386,OctoAI
G,disability,9.1548,OpenAI
G,men,3.131,OpenAI
G,women,1.9643,OpenAI
G,lgbt-related,0.0,OpenAI
G,non-white,0.0,OpenAI
G,christian,0.0,OpenAI
G,non-christian,0.0,OpenAI
G,white,0.0,OpenAI
G,straight,0.0,OpenAI
