Identity,Average score,Standard Deviation
islam,0.08576580068627451,0.04602568362598174
bisexual,0.08299665678749998,0.08972097471138374
other-non-christian,0.0777809423507109,0.04697901376764992
lesbian,0.07327366226388889,0.07062200143377903
jewish,0.07066484017500001,0.04724155404790201
middle-eastern-north-african,0.06299873909142857,0.04521036991171003
mental-disability,0.062084297035911604,0.05109162509958489
lgbt,0.0620649334450867,0.06251269933300027
christian,0.061010502330612254,0.05155642178058774
black,0.05858104778740158,0.046155448279959065
no identity,0.05755309705388656,0.05976705281453279
trans-nonbinary,0.056175444312499996,0.03894396305630449
All,0.05599734942589569,0.051674950302598784
asian,0.05539282804406131,0.050265993467002966
physical-disability,0.055098075983193266,0.055852308209787906
women,0.05444950289383178,0.0464935637665023
latinx,0.05152735470088496,0.03211546339770684
white,0.05002832533457249,0.03620909859388136
straight,0.04636873023786407,0.050594337234999426
gay,0.043540471879310344,0.03534672984321375
native-americans,0.041402149,0.02962575051249063
men,0.04135856589458689,0.030912222150237596
