,G,PG,PG-13,R,NC-17
women,"{'Accuracy': 0.0621, 'Precision': 1.0, 'Recall': 0.0176, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2572, 'Precision': 0.9556, 'Recall': 0.0212, 'TPR': 0.9556, 'FPR': 0.0031}","{'Accuracy': 0.5854, 'Precision': 0.8889, 'Recall': 0.035, 'TPR': 0.8889, 'FPR': 0.0033}","{'Accuracy': 0.9828, 'Precision': 0.1111, 'Recall': 0.4545, 'TPR': 0.1111, 'FPR': 0.015}","{'Accuracy': 0.9832, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0168}"
lgbt-related,"{'Accuracy': 0.0787, 'Precision': 1.0, 'Recall': 0.0644, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1574, 'Precision': 1.0, 'Recall': 0.07, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3909, 'Precision': 1.0, 'Recall': 0.0943, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9416, 'Precision': 0.2, 'Recall': 0.625, 'TPR': 0.2, 'FPR': 0.0518}","{'Accuracy': 0.9365, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0635}"
disability,"{'Accuracy': 0.0596, 'Precision': 1.0, 'Recall': 0.0328, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1638, 'Precision': 0.9333, 'Recall': 0.0345, 'TPR': 0.9333, 'FPR': 0.0156}","{'Accuracy': 0.4872, 'Precision': 0.8, 'Recall': 0.048, 'TPR': 0.8, 'FPR': 0.0136}","{'Accuracy': 0.9638, 'Precision': 0.0667, 'Recall': 0.25, 'TPR': 0.0667, 'FPR': 0.03}","{'Accuracy': 0.9681, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0319}"
non-white,"{'Accuracy': 0.0447, 'Precision': 1.0, 'Recall': 0.0154, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1938, 'Precision': 1.0, 'Recall': 0.0182, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5638, 'Precision': 1.0, 'Recall': 0.0331, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9851, 'Precision': 0.0625, 'Recall': 0.5, 'TPR': 0.0625, 'FPR': 0.014}","{'Accuracy': 0.9851, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0149}"
no identity,"{'Accuracy': 0.1024, 'Precision': 1.0, 'Recall': 0.024, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2778, 'Precision': 1.0, 'Recall': 0.0296, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4995, 'Precision': 0.9762, 'Recall': 0.0413, 'TPR': 0.9762, 'FPR': 0.0011}","{'Accuracy': 0.9743, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0221}","{'Accuracy': 0.9779, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0221}"
christian,"{'Accuracy': 0.1388, 'Precision': 1.0, 'Recall': 0.0276, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4163, 'Precision': 1.0, 'Recall': 0.0403, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.7061, 'Precision': 1.0, 'Recall': 0.0769, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9796, 'Precision': 0.1667, 'Recall': 1.0, 'TPR': 0.1667, 'FPR': 0.0205}","{'Accuracy': 0.9755, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0245}"
non-christian,"{'Accuracy': 0.0616, 'Precision': 1.0, 'Recall': 0.0149, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1801, 'Precision': 1.0, 'Recall': 0.017, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4076, 'Precision': 0.6667, 'Recall': 0.0159, 'TPR': 0.6667, 'FPR': 0.0118}","{'Accuracy': 0.9858, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0142}","{'Accuracy': 0.9858, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0142}"
white,"{'Accuracy': 0.0967, 'Precision': 1.0, 'Recall': 0.0041, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2862, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0128}","{'Accuracy': 0.6022, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0061}","{'Accuracy': 0.9926, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0037}","{'Accuracy': 0.9963, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0037}"
men,"{'Accuracy': 0.1111, 'Precision': 1.0, 'Recall': 0.0032, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4046, 'Precision': 1.0, 'Recall': 0.0048, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.6467, 'Precision': 1.0, 'Recall': 0.008, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9972, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0028}","{'Accuracy': 0.9972, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0028}"
straight,"{'Accuracy': 0.085, 'Precision': 1.0, 'Recall': 0.0358, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2985, 'Precision': 0.9286, 'Recall': 0.0432, 'TPR': 0.9286, 'FPR': 0.009}","{'Accuracy': 0.7597, 'Precision': 0.9286, 'Recall': 0.1171, 'TPR': 0.9286, 'FPR': 0.0033}","{'Accuracy': 0.966, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.034}","{'Accuracy': 0.966, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.034}"
