,G,PG,PG-13,R,NC-17
women,"{'Accuracy': 0.0621, 'Precision': 1.0, 'Recall': 0.0176, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2572, 'Precision': 0.9556, 'Recall': 0.0212, 'TPR': 0.9556, 'FPR': 0.0031}","{'Accuracy': 0.5854, 'Precision': 0.8889, 'Recall': 0.035, 'TPR': 0.8889, 'FPR': 0.0033}","{'Accuracy': 0.9828, 'Precision': 0.1111, 'Recall': 0.4545, 'TPR': 0.1111, 'FPR': 0.015}","{'Accuracy': 0.9832, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0168}"
lgbt,"{'Accuracy': 0.0867, 'Precision': 1.0, 'Recall': 0.0706, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1474, 'Precision': 1.0, 'Recall': 0.0752, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3728, 'Precision': 1.0, 'Recall': 0.0996, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9364, 'Precision': 0.2083, 'Recall': 0.625, 'TPR': 0.2083, 'FPR': 0.0562}","{'Accuracy': 0.9306, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0694}"
physical-disability,"{'Accuracy': 0.0924, 'Precision': 1.0, 'Recall': 0.0442, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3025, 'Precision': 0.8, 'Recall': 0.0465, 'TPR': 0.8, 'FPR': 0.0303}","{'Accuracy': 0.6471, 'Precision': 0.6, 'Recall': 0.0698, 'TPR': 0.6, 'FPR': 0.0263}","{'Accuracy': 0.958, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.042}","{'Accuracy': 0.958, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.042}"
middle-eastern-north-african,"{'Accuracy': 0.0762, 'Precision': 1.0, 'Recall': 0.0051, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2238, 'Precision': 1.0, 'Recall': 0.0061, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.6476, 'Precision': 1.0, 'Recall': 0.0133, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9952, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0048}"
no identity,"{'Accuracy': 0.1024, 'Precision': 1.0, 'Recall': 0.024, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2778, 'Precision': 1.0, 'Recall': 0.0296, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4995, 'Precision': 0.9762, 'Recall': 0.0413, 'TPR': 0.9762, 'FPR': 0.0011}","{'Accuracy': 0.9743, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0221}","{'Accuracy': 0.9779, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0221}"
christian,"{'Accuracy': 0.1388, 'Precision': 1.0, 'Recall': 0.0276, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4163, 'Precision': 1.0, 'Recall': 0.0403, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.7061, 'Precision': 1.0, 'Recall': 0.0769, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9796, 'Precision': 0.1667, 'Recall': 1.0, 'TPR': 0.1667, 'FPR': 0.0205}","{'Accuracy': 0.9755, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0245}"
other-non-christian,"{'Accuracy': 0.0616, 'Precision': 1.0, 'Recall': 0.0149, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1801, 'Precision': 1.0, 'Recall': 0.017, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4076, 'Precision': 0.6667, 'Recall': 0.0159, 'TPR': 0.6667, 'FPR': 0.0118}","{'Accuracy': 0.9858, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0142}","{'Accuracy': 0.9858, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0142}"
white,"{'Accuracy': 0.0967, 'Precision': 1.0, 'Recall': 0.0041, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.2862, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0128}","{'Accuracy': 0.6022, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0061}","{'Accuracy': 0.9926, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0037}","{'Accuracy': 0.9963, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0037}"
asian,"{'Accuracy': 0.0326, 'Precision': 1.0, 'Recall': 0.0117, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1877, 'Precision': 1.0, 'Recall': 0.014, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5785, 'Precision': 1.0, 'Recall': 0.0265, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9866, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0115}","{'Accuracy': 0.9885, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0115}"
black,"{'Accuracy': 0.0433, 'Precision': 1.0, 'Recall': 0.0319, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.1457, 'Precision': 1.0, 'Recall': 0.0356, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5039, 'Precision': 1.0, 'Recall': 0.0597, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.9685, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0315}","{'Accuracy': 0.9685, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.0315}"
