,G,PG,PG-13,R,NC-17
women,"{'Accuracy': 0.2665, 'Precision': 0.9966, 'Recall': 0.2326, 'TPR': 0.9966, 'FPR': 0.0165}","{'Accuracy': 0.44, 'Precision': 0.9446, 'Recall': 0.2776, 'TPR': 0.9446, 'FPR': 0.051}","{'Accuracy': 0.6957, 'Precision': 0.7768, 'Recall': 0.4047, 'TPR': 0.7768, 'FPR': 0.0869}","{'Accuracy': 0.7791, 'Precision': 0.0134, 'Recall': 0.7273, 'TPR': 0.0134, 'FPR': 0.2207}","{'Accuracy': 0.7772, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2228}"
lgbt-related,"{'Accuracy': 0.3706, 'Precision': 1.0, 'Recall': 0.3608, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4239, 'Precision': 0.9643, 'Recall': 0.3782, 'TPR': 0.9643, 'FPR': 0.1351}","{'Accuracy': 0.5964, 'Precision': 0.8786, 'Recall': 0.4642, 'TPR': 0.8786, 'FPR': 0.1318}","{'Accuracy': 0.6548, 'Precision': 0.0429, 'Recall': 0.75, 'TPR': 0.0429, 'FPR': 0.3472}","{'Accuracy': 0.6447, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.3553}"
disability,"{'Accuracy': 0.3702, 'Precision': 0.9939, 'Recall': 0.3545, 'TPR': 0.9939, 'FPR': 0.0769}","{'Accuracy': 0.466, 'Precision': 0.9755, 'Recall': 0.3916, 'TPR': 0.9755, 'FPR': 0.0625}","{'Accuracy': 0.7, 'Precision': 0.8344, 'Recall': 0.544, 'TPR': 0.8344, 'FPR': 0.1227}","{'Accuracy': 0.6574, 'Precision': 0.0184, 'Recall': 0.75, 'TPR': 0.0184, 'FPR': 0.3433}","{'Accuracy': 0.6532, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.3468}"
non-white,"{'Accuracy': 0.2339, 'Precision': 1.0, 'Recall': 0.2104, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3737, 'Precision': 0.9772, 'Recall': 0.2429, 'TPR': 0.9772, 'FPR': 0.026}","{'Accuracy': 0.6747, 'Precision': 0.8082, 'Recall': 0.3657, 'TPR': 0.8082, 'FPR': 0.0713}","{'Accuracy': 0.7978, 'Precision': 0.0091, 'Recall': 1.0, 'TPR': 0.0091, 'FPR': 0.2026}","{'Accuracy': 0.7959, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2041}"
no identity,"{'Accuracy': 0.2936, 'Precision': 1.0, 'Recall': 0.2319, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4575, 'Precision': 0.9729, 'Recall': 0.2788, 'TPR': 0.9729, 'FPR': 0.0226}","{'Accuracy': 0.6339, 'Precision': 0.8645, 'Recall': 0.3535, 'TPR': 0.8645, 'FPR': 0.0604}","{'Accuracy': 0.7883, 'Precision': 0.0123, 'Recall': 0.7143, 'TPR': 0.0123, 'FPR': 0.2114}","{'Accuracy': 0.7868, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2132}"
christian,"{'Accuracy': 0.2694, 'Precision': 1.0, 'Recall': 0.1751, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5388, 'Precision': 0.9737, 'Recall': 0.2483, 'TPR': 0.9737, 'FPR': 0.0104}","{'Accuracy': 0.7959, 'Precision': 0.8684, 'Recall': 0.4231, 'TPR': 0.8684, 'FPR': 0.0299}","{'Accuracy': 0.849, 'Precision': 0.0263, 'Recall': 1.0, 'TPR': 0.0263, 'FPR': 0.1516}","{'Accuracy': 0.8449, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1551}"
non-christian,"{'Accuracy': 0.3223, 'Precision': 1.0, 'Recall': 0.2886, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4313, 'Precision': 0.9828, 'Recall': 0.3239, 'TPR': 0.9828, 'FPR': 0.0286}","{'Accuracy': 0.5924, 'Precision': 0.8448, 'Recall': 0.3889, 'TPR': 0.8448, 'FPR': 0.1059}","{'Accuracy': 0.7251, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2749}","{'Accuracy': 0.7251, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2749}"
white,"{'Accuracy': 0.2602, 'Precision': 1.0, 'Recall': 0.1844, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4424, 'Precision': 0.9556, 'Recall': 0.2251, 'TPR': 0.9556, 'FPR': 0.0256}","{'Accuracy': 0.7509, 'Precision': 0.9333, 'Recall': 0.3962, 'TPR': 0.9333, 'FPR': 0.0184}","{'Accuracy': 0.829, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1679}","{'Accuracy': 0.8327, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1673}"
men,"{'Accuracy': 0.2906, 'Precision': 0.9848, 'Recall': 0.2077, 'TPR': 0.9848, 'FPR': 0.0263}","{'Accuracy': 0.567, 'Precision': 0.9394, 'Recall': 0.2952, 'TPR': 0.9394, 'FPR': 0.0284}","{'Accuracy': 0.7521, 'Precision': 0.7879, 'Recall': 0.416, 'TPR': 0.7879, 'FPR': 0.0619}","{'Accuracy': 0.812, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.188}","{'Accuracy': 0.812, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.188}"
straight,"{'Accuracy': 0.1893, 'Precision': 1.0, 'Recall': 0.1458, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3835, 'Precision': 0.9123, 'Recall': 0.1728, 'TPR': 0.9123, 'FPR': 0.045}","{'Accuracy': 0.7524, 'Precision': 0.5789, 'Recall': 0.2973, 'TPR': 0.5789, 'FPR': 0.0797}","{'Accuracy': 0.8617, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1383}","{'Accuracy': 0.8617, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1383}"
