,G,PG,PG-13,R,NC-17
women,"{'Accuracy': 0.2665, 'Precision': 0.9966, 'Recall': 0.2326, 'TPR': 0.9966, 'FPR': 0.0165}","{'Accuracy': 0.44, 'Precision': 0.9446, 'Recall': 0.2776, 'TPR': 0.9446, 'FPR': 0.051}","{'Accuracy': 0.6957, 'Precision': 0.7768, 'Recall': 0.4047, 'TPR': 0.7768, 'FPR': 0.0869}","{'Accuracy': 0.7791, 'Precision': 0.0134, 'Recall': 0.7273, 'TPR': 0.0134, 'FPR': 0.2207}","{'Accuracy': 0.7772, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2228}"
lgbt,"{'Accuracy': 0.3642, 'Precision': 1.0, 'Recall': 0.3529, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4191, 'Precision': 0.9917, 'Recall': 0.373, 'TPR': 0.9917, 'FPR': 0.037}","{'Accuracy': 0.5867, 'Precision': 0.9083, 'Recall': 0.4523, 'TPR': 0.9083, 'FPR': 0.1048}","{'Accuracy': 0.6647, 'Precision': 0.05, 'Recall': 0.75, 'TPR': 0.05, 'FPR': 0.3373}","{'Accuracy': 0.6532, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.3468}"
physical-disability,"{'Accuracy': 0.2941, 'Precision': 1.0, 'Recall': 0.2566, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.521, 'Precision': 1.0, 'Recall': 0.3372, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.7815, 'Precision': 0.7931, 'Recall': 0.5349, 'TPR': 0.7931, 'FPR': 0.0789}","{'Accuracy': 0.7563, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2437}","{'Accuracy': 0.7563, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2437}"
middle-eastern-north-african,"{'Accuracy': 0.181, 'Precision': 1.0, 'Recall': 0.1179, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3095, 'Precision': 0.913, 'Recall': 0.128, 'TPR': 0.913, 'FPR': 0.0435}","{'Accuracy': 0.6762, 'Precision': 0.6522, 'Recall': 0.2, 'TPR': 0.6522, 'FPR': 0.0593}","{'Accuracy': 0.8952, 'Precision': 0.0435, 'Recall': 1.0, 'TPR': 0.0435, 'FPR': 0.1053}","{'Accuracy': 0.8905, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1095}"
no identity,"{'Accuracy': 0.2936, 'Precision': 1.0, 'Recall': 0.2319, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4575, 'Precision': 0.9729, 'Recall': 0.2788, 'TPR': 0.9729, 'FPR': 0.0226}","{'Accuracy': 0.6339, 'Precision': 0.8645, 'Recall': 0.3535, 'TPR': 0.8645, 'FPR': 0.0604}","{'Accuracy': 0.7883, 'Precision': 0.0123, 'Recall': 0.7143, 'TPR': 0.0123, 'FPR': 0.2114}","{'Accuracy': 0.7868, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2132}"
christian,"{'Accuracy': 0.2694, 'Precision': 1.0, 'Recall': 0.1751, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5388, 'Precision': 0.9737, 'Recall': 0.2483, 'TPR': 0.9737, 'FPR': 0.0104}","{'Accuracy': 0.7959, 'Precision': 0.8684, 'Recall': 0.4231, 'TPR': 0.8684, 'FPR': 0.0299}","{'Accuracy': 0.849, 'Precision': 0.0263, 'Recall': 1.0, 'TPR': 0.0263, 'FPR': 0.1516}","{'Accuracy': 0.8449, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1551}"
other-non-christian,"{'Accuracy': 0.3223, 'Precision': 1.0, 'Recall': 0.2886, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4313, 'Precision': 0.9828, 'Recall': 0.3239, 'TPR': 0.9828, 'FPR': 0.0286}","{'Accuracy': 0.5924, 'Precision': 0.8448, 'Recall': 0.3889, 'TPR': 0.8448, 'FPR': 0.1059}","{'Accuracy': 0.7251, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2749}","{'Accuracy': 0.7251, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2749}"
white,"{'Accuracy': 0.2602, 'Precision': 1.0, 'Recall': 0.1844, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4424, 'Precision': 0.9556, 'Recall': 0.2251, 'TPR': 0.9556, 'FPR': 0.0256}","{'Accuracy': 0.7509, 'Precision': 0.9333, 'Recall': 0.3962, 'TPR': 0.9333, 'FPR': 0.0184}","{'Accuracy': 0.829, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1679}","{'Accuracy': 0.8327, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1673}"
asian,"{'Accuracy': 0.2548, 'Precision': 1.0, 'Recall': 0.2387, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4023, 'Precision': 0.9836, 'Recall': 0.2791, 'TPR': 0.9836, 'FPR': 0.0217}","{'Accuracy': 0.7165, 'Precision': 0.8197, 'Recall': 0.4425, 'TPR': 0.8197, 'FPR': 0.0743}","{'Accuracy': 0.7682, 'Precision': 0.0082, 'Recall': 1.0, 'TPR': 0.0082, 'FPR': 0.2322}","{'Accuracy': 0.7663, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2337}"
black,"{'Accuracy': 0.2165, 'Precision': 1.0, 'Recall': 0.2072, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3189, 'Precision': 1.0, 'Recall': 0.2311, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.622, 'Precision': 0.8654, 'Recall': 0.3358, 'TPR': 0.8654, 'FPR': 0.0583}","{'Accuracy': 0.7953, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2047}","{'Accuracy': 0.7953, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2047}"
men,"{'Accuracy': 0.2906, 'Precision': 0.9848, 'Recall': 0.2077, 'TPR': 0.9848, 'FPR': 0.0263}","{'Accuracy': 0.567, 'Precision': 0.9394, 'Recall': 0.2952, 'TPR': 0.9394, 'FPR': 0.0284}","{'Accuracy': 0.7521, 'Precision': 0.7879, 'Recall': 0.416, 'TPR': 0.7879, 'FPR': 0.0619}","{'Accuracy': 0.812, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.188}","{'Accuracy': 0.812, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.188}"
latinx,"{'Accuracy': 0.1327, 'Precision': 1.0, 'Recall': 0.1327, 'TPR': 1.0, 'FPR': 0}","{'Accuracy': 0.3451, 'Precision': 1.0, 'Recall': 0.1685, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5929, 'Precision': 0.7333, 'Recall': 0.2075, 'TPR': 0.7333, 'FPR': 0.0667}","{'Accuracy': 0.8673, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1327}","{'Accuracy': 0.8673, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1327}"
trans-nonbinary,"{'Accuracy': 0.3958, 'Precision': 1.0, 'Recall': 0.383, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4167, 'Precision': 0.9444, 'Recall': 0.3864, 'TPR': 0.9444, 'FPR': 0.25}","{'Accuracy': 0.5, 'Precision': 0.7222, 'Recall': 0.4062, 'TPR': 0.7222, 'FPR': 0.3125}","{'Accuracy': 0.625, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.375}","{'Accuracy': 0.625, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.375}"
straight,"{'Accuracy': 0.1893, 'Precision': 1.0, 'Recall': 0.1458, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3835, 'Precision': 0.9123, 'Recall': 0.1728, 'TPR': 0.9123, 'FPR': 0.045}","{'Accuracy': 0.7524, 'Precision': 0.5789, 'Recall': 0.2973, 'TPR': 0.5789, 'FPR': 0.0797}","{'Accuracy': 0.8617, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1383}","{'Accuracy': 0.8617, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.1383}"
jewish,"{'Accuracy': 0.225, 'Precision': 1.0, 'Recall': 0.1622, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.3125, 'Precision': 0.9167, 'Recall': 0.1692, 'TPR': 0.9167, 'FPR': 0.0667}","{'Accuracy': 0.5625, 'Precision': 0.75, 'Recall': 0.2195, 'TPR': 0.75, 'FPR': 0.0769}","{'Accuracy': 0.85, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.15}","{'Accuracy': 0.85, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.15}"
mental-disability,"{'Accuracy': 0.3978, 'Precision': 0.9928, 'Recall': 0.387, 'TPR': 0.9928, 'FPR': 0.125}","{'Accuracy': 0.4503, 'Precision': 0.971, 'Recall': 0.4073, 'TPR': 0.971, 'FPR': 0.1212}","{'Accuracy': 0.6768, 'Precision': 0.8478, 'Recall': 0.5493, 'TPR': 0.8478, 'FPR': 0.1409}","{'Accuracy': 0.6243, 'Precision': 0.0217, 'Recall': 0.75, 'TPR': 0.0217, 'FPR': 0.3771}","{'Accuracy': 0.6188, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.3812}"
lesbian,"{'Accuracy': 0.4583, 'Precision': 1.0, 'Recall': 0.4545, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.4792, 'Precision': 0.9385, 'Recall': 0.4621, 'TPR': 0.9385, 'FPR': 0.3333}","{'Accuracy': 0.6111, 'Precision': 0.8769, 'Recall': 0.5429, 'TPR': 0.8769, 'FPR': 0.2051}","{'Accuracy': 0.5417, 'Precision': 0.0154, 'Recall': 0.3333, 'TPR': 0.0154, 'FPR': 0.4539}","{'Accuracy': 0.5486, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.4514}"
native-americans,"{'Accuracy': 0.3571, 'Precision': 1.0, 'Recall': 0.2703, 'TPR': 1.0, 'FPR': 0.0}","{'Accuracy': 0.5238, 'Precision': 0.9, 'Recall': 0.3214, 'TPR': 0.9, 'FPR': 0.0714}","{'Accuracy': 0.7619, 'Precision': 0.9, 'Recall': 0.5, 'TPR': 0.9, 'FPR': 0.0417}","{'Accuracy': 0.7619, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2381}","{'Accuracy': 0.7619, 'Precision': 0.0, 'Recall': 0.0, 'TPR': 0.0, 'FPR': 0.2381}"
