Identity,Average score,Standard Deviation
non-christian,0.133728940385,0.07687111294131506
lgbt-related,0.12982018576053334,0.09795045023731248
non-white,0.12334150441159805,0.07638521854844849
disability,0.12176485486696231,0.08127290287419475
straight,0.12028318159711736,0.09146332687400416
All,0.1185492206765316,0.080058794389804
no identity,0.11818700017038503,0.07988858796872018
women,0.11692591867003924,0.0796893332697266
christian,0.1148503331978355,0.0766935570119729
white,0.11346581622529646,0.07563816754236184
men,0.10395338095522388,0.06818335821699129
