,Title,id,rating
0,Dune: Part Two,693134,PG-13
1,Kung Fu Panda 4,1011985,PG
2,Godzilla x Kong: The New Empire,823464,PG-13
3,Road House,359410,R
4,Heart of the Hunter,1181548,R
5,Madame Web,634492,PG-13
6,Migration,940551,PG
7,Imaginary,1125311,PG-13
8,Dune,438631,PG-13
9,Damsel,763215,PG-13
10,No Way Up,1096197,R
11,The First Omen,437342,R
12,Oppenheimer,872585,R
13,Land of Bad,969492,R
14,Argylle,848538,PG-13
15,Godzilla vs. Kong,399566,PG-13
16,Poor Things,792307,R
17,Vikings: Battle of Heirs,1049948,PG
18,Wonka,787699,PG
19,Megamind vs. the Doom Syndicate,1239251,G
20,Code 8 Part II,932420,R
21,Air Force One Down,1124127,R
22,Wish,1022796,PG
23,Fast X,385687,PG-13
24,Anyone But You,1072790,R
25,Civil War,929590,R
26,Godzilla: King of the Monsters,373571,PG-13
27,The Shawshank Redemption,278,R
28,The Marvels,609681,PG-13
29,Ghostbusters: Frozen Empire,967847,PG-13
30,Barbie,346698,PG-13
31,Freelance,897087,R
32,Baghead,845783,PG-13
33,The Batman,414906,PG-13
34,The American Society of Magical Negroes,1039773,PG-13
35,Godzilla,124905,PG-13
36,The Beekeeper,866398,R
37,The Super Mario Bros. Movie,502356,PG
38,Aquaman and the Lost Kingdom,572802,PG-13
39,Napoleon,753342,R
40,Spider-Man: No Way Home,634649,PG-13
41,Avengers: Infinity War,299536,PG-13
42,Transformers: Rise of the Beasts,667538,PG-13
43,The Flash,298618,PG-13
44,Avatar: The Way of Water,76600,PG
45,xXx,7451,PG-13
46,The Thundermans Return,1094556,G
47,Elemental,976573,PG
48,The Zone of Interest,467244,PG-13
49,Ruthless,984249,R
50,The Hunger Games: The Ballad of Songbirds & Snakes,695721,PG-13
51,Kong: Skull Island,293167,PG-13
52,The Family Plan,1029575,PG-13
53,The Weapon,1081620,R
54,Spider-Man: Across the Spider-Verse,569094,PG
55,Kung Fu Panda,9502,PG
56,Puss in Boots: The Last Wish,315162,PG
57,John Wick: Chapter 4,603692,R
58,Ghostbusters,43074,PG-13
59,Deadpool,293660,R
60,Aquaman,297802,PG-13
61,Turning Red,508947,PG
62,Inside Out,150540,PG
63,Thor: Ragnarok,284053,PG-13
64,The Maze Runner,198663,PG-13
65,The Masked Saint,370464,PG-13
66,Interstellar,157336,PG-13
67,Bird Box,405774,R
68,X,760104,R
69,Bob Marley: One Love,802219,PG-13
70,Alien,348,R
71,Wonder Woman,297762,PG-13
72,Joker,475557,R
73,Inception,27205,PG-13
74,The Creator,670292,PG-13
75,Ordinary Angels,974036,PG
76,Expend4bles,299054,R
77,Coach Carter,7214,PG-13
78,Spider-Man: Into the Spider-Verse,324857,PG
79,PAW Patrol: The Mighty Movie,893723,PG
80,Star Wars,11,PG
81,The Matrix,603,R
82,Mission: Impossible - Dead Reckoning Part One,575264,PG-13
83,Iron Man 2,10138,PG-13
84,The Terminator,218,R
85,Rebel Moon - Part One: A Child of Fire,848326,PG-13
86,To Your Last Death,366171,R
87,Kung Fu Panda 3,140300,PG
88,Drive-Away Dolls,957304,R
89,Trolls Band Together,901362,PG
90,Kung Fu Panda 2,49444,PG
91,Charlie and the Chocolate Factory,118,PG
92,The Casagrandes Movie,1216512,PG
93,The Hill,862557,PG
94,Arthur the King,618588,PG-13
95,Música,968441,PG-13
96,The Lord of the Rings: The Fellowship of the Ring,120,PG-13
97,Black Panther,284054,PG-13
98,Black Adam,436270,PG-13
99,Orion and the Dark,1139829,PG
100,Guardians of the Galaxy Vol. 3,447365,PG-13
101,Pulp Fiction,680,R
102,Captain Marvel,299537,PG-13
103,Fifty Shades of Grey,216015,R
104,Leo,1075794,PG
105,Lift,955916,PG-13
106,The Judge,205587,R
107,Blade Runner 2049,335984,R
108,Five Nights at Freddy's,507089,PG-13
109,Ghostbusters: Afterlife,425909,PG-13
110,King Kong,254,PG-13
111,Dune,841,PG-13
112,Miller's Girl,1026436,R
113,Split,381288,PG-13
114,Tenet,577922,PG-13
115,Meg 2: The Trench,615656,PG-13
116,Due Justice,982940,R
117,Harry Potter and the Prisoner of Azkaban,673,PG
118,Deadpool 2,383498,PG-13
119,Killers of the Flower Moon,466420,R
120,Harry Potter and the Chamber of Secrets,672,PG
121,Snack Shack,1037113,R
122,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,PG
123,Monkey Man,560016,R
124,Top Gun: Maverick,361743,PG-13
125,Pirates of the Caribbean: The Curse of the Black Pearl,22,PG-13
126,The Bricklayer,927107,R
127,Shang-Chi and the Legend of the Ten Rings,566525,PG-13
128,The Omen,794,R
129,Tangled,38757,PG
130,Twilight,8966,PG-13
131,Toy Story,862,G
132,Prey,766507,R
133,"Monsters, Inc.",585,G
134,Mean Girls,673593,PG-13
135,Shrek,808,PG
136,Logan,263115,R
137,Spider-Man: Homecoming,315635,PG-13
138,Avengers: Endgame,299534,PG-13
139,Stopmotion,840889,R
140,The Equalizer 3,926393,R
141,Mad Max: Fury Road,76341,R
142,Harry Potter and the Goblet of Fire,674,PG-13
143,Encanto,568124,PG
144,The Avengers,24428,PG-13
145,One Life,760774,PG
146,Dawn of the Planet of the Apes,119450,PG-13
147,Ted 2,214756,R
148,Predator,106,R
149,Dora: Say Hola to Adventure!,1205781,G
150,Fifty Shades Freed,337167,R
151,Pirates of the Caribbean: On Stranger Tides,1865,PG-13
152,Jurassic World Dominion,507086,PG-13
153,Chappie,198184,R
154,Creed III,677179,PG-13
155,Rocky,1366,PG
156,Shrek 2,809,PG
157,Indiana Jones and the Dial of Destiny,335977,PG-13
158,Black Panther: Wakanda Forever,505642,PG-13
159,The Suicide Squad,436969,R
160,The Little Mermaid,447277,PG
161,Morbius,526896,R
162,Law Abiding Citizen,22803,R
163,Baywatch,339846,R
164,Superman,1924,PG
165,She Came to Me,503417,R
166,Lights Out,931642,R
167,Retribution,762430,R
168,The Twilight Saga: Breaking Dawn - Part 1,50619,PG-13
169,Hacksaw Ridge,324786,R
170,Upgraded,1014590,R
171,Forrest Gump,13,PG-13
172,Babylon,615777,R
173,Harry Potter and the Order of the Phoenix,675,PG-13
174,Taxi Driver,103,R
175,Titanic,597,PG-13
176,Spaceman,636706,R
177,Avatar,19995,PG-13
178,Real Steel,39254,PG-13
179,Baby Driver,339403,R
180,The Devil Wears Prada,350,PG-13
181,Abigail,1111873,R
182,The Hunger Games: Mockingjay - Part 1,131631,PG-13
183,Justice League,141052,PG-13
184,Coco,354912,PG
185,Alien: Covenant,126889,R
186,Talk to Me,1008042,R
187,The Hobbit: The Battle of the Five Armies,122917,R
188,Role Play,848187,R
189,Blue Beetle,565770,PG-13
190,Sing 2,438695,PG
191,Harry Potter and the Deathly Hallows: Part 1,12444,PG-13
192,The Lord of the Rings: The Return of the King,122,PG-13
193,The Twilight Saga: Breaking Dawn - Part 2,50620,PG-13
194,Ratatouille,2062,G
195,Pirates of the Caribbean: At World's End,285,PG-13
196,The Godfather,238,R
197,Saw X,951491,R
198,Saw X,951491,R
199,Captive,331190,PG-13
200,Up,14160,PG
201,Toy Story 2,863,G
202,The Nun II,968051,R
203,Ricky Stanicky,1022690,R
204,Zootopia,269149,PG
205,Se7en,807,R
206,Exodus: Gods and Kings,147441,PG-13
207,Harry Potter and the Half-Blood Prince,767,PG
208,The Twilight Saga: Eclipse,24021,PG-13
209,Ice Age,425,PG
210,Harry Potter and the Deathly Hallows: Part 2,12445,PG-13
211,Pirates of the Caribbean: Dead Man's Chest,58,PG-13
212,Sonic the Hedgehog 2,675353,PG
213,Iron Man,1726,PG-13
214,Back to Black,998846,R
215,Back to Black,998846,R
216,Con Air,1701,R
217,Black Widow,497698,PG-13
218,War for the Planet of the Apes,281338,PG-13
219,The Green Mile,497,R
220,Agent Game,872542,R
221,Arrival,329865,PG-13
222,Dark Phoenix,320288,PG-13
223,Gran Turismo,980489,PG-13
224,Green Book,490132,PG-13
225,Fall,985939,PG-13
226,Sound of Freedom,678512,PG-13
227,The Emperor's New Groove,11688,G
228,Scarface,111,R
229,Irish Wish,1019420,PG
230,Creed II,480530,PG-13
231,Thor: Love and Thunder,616037,PG-13
232,After,537915,PG-13
233,Mulan,10674,G
234,Rise of the Planet of the Apes,61791,PG-13
235,The Lion King,8587,G
236,Death Wish,395990,R
237,Venom,335983,PG-13
238,The Beautiful Game,857655,PG-13
239,The Passion of the Christ,615,R
240,Wrath of Man,637649,R
241,The Nun,439079,R
242,The Last Voyage of the Demeter,635910,R
243,Dead for a Dollar,843380,R
244,RoboCop,5548,R
245,It,346364,R
246,It,346364,R
247,Big Hero 6,177572,PG
248,The Lord of the Rings: The Two Towers,121,PG-13
249,Nobody,615457,R
250,The Dark Knight,155,PG-13
251,Fight Club,550,R
252,Donnie Darko,141,R
253,Serenity,16320,PG-13
254,Frozen,109445,PG
255,The Farm,517764,NC-17
256,Doctor Strange,284052,PG-13
257,Past Lives,666277,PG-13
258,White Chicks,12153,PG-13
259,Gravity,49047,PG-13
260,Avengers: Age of Ultron,99861,PG-13
261,The Conjuring,138843,R
262,Ghostbusters,620,PG
263,Beauty and the Beast,321612,PG
264,The Princess and the Frog,10198,G
265,Me Before You,296096,PG-13
266,Whiplash,244786,R
267,Thanksgiving,1071215,R
268,Maze Runner: The Scorch Trials,294254,PG-13
269,The Pope's Exorcist,758323,R
270,The Iron Claw,850165,R
271,Hotel Transylvania: Transformania,585083,PG
272,Shrek Forever After,10192,PG
273,The Ten Commandments,6844,G
274,Gifted,400928,PG-13
275,Joker: Folie à Deux,889737,R
276,Silent Night,891699,R
277,Jaws,578,PG
278,Free Guy,550988,R
279,Toy Story 4,301528,G
280,Despicable Me 2,93456,PG
281,Moonfall,406759,PG-13
282,Suicide Squad,297761,PG-13
283,Tinker Bell and the Legend of the NeverBeast,297270,G
284,Luca,508943,PG
285,Venom: Let There Be Carnage,580489,R
286,Despicable Me 4,519182,PG
287,Blade,36647,R
288,The Godfather Part III,242,R
289,No Time to Die,370172,PG-13
290,The Tiger's Apprentice,598387,PG
291,Ghosted,868759,PG-13
292,Maze Runner: The Death Cure,336843,PG-13
293,Pirates of the Caribbean: Dead Men Tell No Tales,166426,PG-13
294,The Wolf of Wall Street,106646,R
295,Coraline,14836,PG
296,Sonic the Hedgehog,454626,PG
297,Batman v Superman: Dawn of Justice,209112,R
298,Spider-Man: Far From Home,429617,PG-13
299,Zack Snyder's Justice League,791373,R
300,Hercules,11970,G
301,Django Unchained,68718,R
302,Gladiator,98,R
303,Roald Dahl's The Witches,531219,PG
304,Finding Nemo,12,G
305,The Lion King,420818,PG
306,Total Recall,64635,PG-13
307,Taken 3,260346,PG-13
