,Categories,upper_bound,lower_bound
0,harassment,inf,0.3582347929
1,harassment/threatening,inf,0.1602348536
2,harassment_threatening,inf,0.1602348536
3,hate,inf,0.190686658
4,hate/threatening,0.1878444999,0.0944699347
5,hate_threatening,0.1878444999,0.0944699347
6,self-harm,0.4011626244,0.3982075751
7,self-harm/instructions,inf,0.0112360446
8,self-harm/intent,inf,0.1281824261
9,self_harm,0.4011626244,0.3982075751
10,self_harm_instructions,inf,0.0112360446
11,self_harm_intent,inf,0.1281824261
12,sexual,0.5302000046,0.5295288563
13,sexual/minors,0.3205630481,0.3162384331
14,sexual_minors,0.3205630481,0.3162384331
15,violence,0.5805909634,0.5799699426
16,violence/graphic,0.7117411494,0.7068898678
17,violence_graphic,0.7117411494,0.7068898678
