Asian,Release year
Godzilla,2014
Aquaman and the Lost Kingdom,2023
Kong: Skull Island,2017
Spider-Man: Across the Spider-Verse,2023
Aquaman,2018
Turning Red,2022
Wonder Woman,2017
Expend4bles,2023
Spider-Man: Into the Spider-Verse,2018
Kung Fu Panda 3,2016
Tenet,2020
Monkey Man,2024
Shang-Chi and the Legend of the Ten Rings,2021
Morbius,2022
Forrest Gump,1994
Real Steel,2011
Sonic the Hedgehog 2,2022
Iron Man,2008
Venom,2018
The Conjuring,2013
Silent Night,2023
Moonfall,2022
Venom: Let There Be Carnage,2021
The Tiger's Apprentice,2024
Sonic the Hedgehog,2020
Everything Everywhere All at Once,2022
Glass Onion: A Knives Out Mystery,2022
Gone Girl,2014
Bumblebee,2018
Godzilla,1998
The Amazing Spider-Man,2012
Eternals,2021
Deep Water,2022
The Amazing Spider-Man 2,2014
Uncharted,2022
Silence,2016
Spider-Man 3,2007
Platoon,1986
The Karate Kid,2010
Knights of the Zodiac,2023
The Conjuring 2,2016
Star Wars: The Last Jedi,2017
Late Night with the Devil,2024
Pixels,2015
Furious 7,2015
May December,2023
Rush Hour,1998
Knives Out,2019
American Gangster,2007
Glass,2019
Rambo,2008
Rampage,2018
The Simpsons Movie,2007
Tom & Jerry,2021
Contagion,2011
The Great Wall,2016
Need for Speed,2014
Rambo: First Blood Part II,1985
The Northman,2022
Rings,2017
The Expendables,2010
Monster Hunter,2020
Dredd,2012
The Fate of the Furious,2017
The Fabelmans,2022
Knock at the Cabin,2023
Warcraft,2016
The Incredible Hulk,2008
The Help,2011
Star Trek Beyond,2016
Daredevil,2003
Valerian and the City of a Thousand Planets,2017
Saw,2004
Terminator: Dark Fate,2019
The Sixth Sense,1999
Southpaw,2015
Once Upon a Time in America,1984
The Devil's Advocate,1997
The Jungle Book,2016
I Spit on Your Grave,2010
V/H/S/94,2021
Unbreakable,2000
Terminator 3: Rise of the Machines,2003
Indiana Jones and the Temple of Doom,1984
Insidious,2011
Fantastic Four,2005
Undisputed III: Redemption,2010
The Expendables 3,2014
The Last Airbender,2010
The Punisher,2004
The Magnificent Seven,2016
Wish Dragon,2021
Apocalypse Now,1979
The Ring Two,2005
Scary Movie 3,2003
The Revenant,2015
Insidious: Chapter 2,2013
Passengers,2016
Noah,2014
Hidden Strike,2023
Hard Target,1993
Pretty Woman,1990
Undisputed II: Last Man Standing,2006
Legend,1985
The Expendables 2,2012
Ghost Rider: Spirit of Vengeance,2011
Holmes & Watson,2018
Showgirls,1995
The Foreigner,2017
Dumbo,2019
The Post,2017
Abraham Lincoln: Vampire Hunter,2012
The Circle,2017
Cast Away,2000
The BFG,2016
Man on Fire,2004
Hulk,2003
Men in Black: International,2019
Point Break,2015
The 355,2022
The Big Short,2015
Jumper,2008
Halo Legends,2010
Wanted,2008
Cowboys & Aliens,2011
I Am Number Four,2011
Mr. & Mrs. Smith,2005
Lolita,1997
The Girl on the Train,2016
"New York, I Love You",2008
Looper,2012
Abominable,2019
You Don't Mess with the Zohan,2008
Power Rangers,2017
Ghost in the Shell,2017
Terminator Salvation,2009
The Ring,2002
Basic Instinct,1992
Lost in Translation,2003
Howards End,1992
12 Years a Slave,2013
