Latinx,Release year
The Casagrandes Movie,2024
Dune,1984
The Bricklayer,2023
Blue Beetle,2023
Gravity,2013
The Mummy,2017
Sicario,2015
Pacific Rim,2013
Radical,2023
No Country for Old Men,2007
Bad Boys for Life,2020
Now You See Me,2013
Troy,2004
Now You See Me 2,2016
Rambo: Last Blood,2019
Sicario: Day of the Soldado,2018
Star Trek Beyond,2016
Star Trek Into Darkness,2013
We're the Millers,2013
The Shape of Water,2017
The Forever Purge,2021
The Exorcism of God,2022
The Mask of Zorro,1998
The Curse of La Llorona,2019
Licence to Kill,1989
2 Guns,2013
Aristotle and Dante Discover the Secrets of the Universe,2023
Guillermo del Toro's Pinocchio,2022
Man on Fire,2004
Cowboys & Aliens,2011
Blow,2001
Original Sin,2001
Romeo + Juliet,1996
The Book of Life,2014
The Marksman,2021
Butch Cassidy and the Sundance Kid,1969
The Mule,2018
Antlers,2021
Desperado,1995
Ender's Game,2013
Mama,2013
The Unbearable Weight of Massive Talent,2022
Babel,2006
Spy Kids: Armageddon,2023
Spy Kids 3-D: Game Over,2003
Triangle of Sadness,2022
Collateral,2004
Snitch,2013
Romancing the Stone,1984
Trollhunters: Rise of the Titans,2021
End of Watch,2012
Miss Bala,2019
Selena,1997
Traffic,2000
Scary Stories to Tell in the Dark,2019
Crimson Peak,2015
The Tax Collector,2020
Nightmare Alley,2021
Spy Kids: All the Time in the World,2011
Once Upon a Time in Mexico,2003
The Legend of Zorro,2005
Spy Kids,2001
A Walk in the Clouds,1995
A Man Apart,2003
Machete,2010
Frida,2002
The Last Stand,2013
Sabotage,2014
I Still Know What You Did Last Summer,1998
La Bamba,1987
Spanglish,2004
Blood Father,2016
Naked Singularity,2021
Savages,2012
Amityville II: The Possession,1982
Machete Kills,2013
Goal!,2005
American Me,1992
Two Mules for Sister Sara,1970
The Arrival,1996
Fools Rush In,1997
Hot Pursuit,2015
The Absence of Eden,2024
Bandidas,2006
Caveman,1981
Gringo,2018
Tequila Sunrise,1988
Club Dread,2004
Stand and Deliver,1988
Raymond & Ray,2022
People Like Us,2012
Don't Be Afraid of the Dark,2010
Bring Me the Head of Alfredo Garcia,1974
A Hologram for the King,2016
Transformers: Rise of the Beasts,2023
Spider-Man: Across the Spider-Verse,2023
Spider-Man: Into the Spider-Verse,2018
Coco,2017
Flamin' Hot,2023
Nacho Libre,2006
Dora and the Lost City of Gold,2019
Instant Family,2018
How to Be a Latin Lover,2017
Wizards of Waverly Place: The Movie,2009
Colors,1988
Overboard,2018
Freedom Writers,2007
"McFarland, USA",2015
Up in Smoke,1978
