Middle-Eastern-North-African,Release year
Godzilla x Kong: The New Empire,2024
The First Omen,2024
Poor Things,2023
Wonder Woman,2017
Black Adam,2022
The Omen,1976
Exodus: Gods and Kings,2014
Gran Turismo,2023
The Passion of the Christ,2004
The Ten Commandments,1956
Ghosted,2023
Extraction 2,2023
The Mummy,2017
The Omen,2006
Ben-Hur,1959
World War Z,2013
Kingsman: The Secret Service,2014
Eternals,2021
American Sniper,2014
The Mummy,1999
Downsizing,2017
X-Men: Apocalypse,2016
The Shack,2017
The Fifth Element,1997
Kandahar,2023
Kingdom of Heaven,2005
The Equalizer 2,2018
Furious 7,2015
Aladdin,2019
Troy,2004
Independence Day,1996
Geostorm,2017
The Mummy Returns,2001
Raiders of the Lost Ark,1981
Taken 2,2012
Indiana Jones and the Last Crusade,1989
The Exorcist,1973
Armageddon,1998
Immaculate,2024
Operation Fortune: Ruse de Guerre,2023
Three Thousand Years of Longing,2022
"South Park: Bigger, Longer & Uncut",1999
White House Down,2013
The Prince of Egypt,1998
Joseph: King of Dreams,2000
The Greatest Story Ever Told,1965
The Gray Man,2022
From Russia with Love,1963
Red Notice,2021
Death on the Nile,1978
Prince of Persia: The Sands of Time,2010
Robin Hood: Prince of Thieves,1991
War Dogs,2016
The World Is Not Enough,1999
Death on the Nile,2022
Gods of Egypt,2016
Skyfall,2012
Night at the Museum: Secret of the Tomb,2014
Lord of War,2005
Hidden Strike,2023
Cloudy with a Chance of Meatballs,2009
Omen IV: The Awakening,1991
Aftersun,2022
Murder on the Orient Express,2017
Redeeming Love,2022
RoboCop,2014
The Spy Who Loved Me,1977
Lawrence of Arabia,1962
Surrogates,2009
Charlie's Angels,2019
Jumper,2008
You Don't Mess with the Zohan,2008
Sniper: Ghost Shooter,2016
G.I. Joe: The Rise of Cobra,2009
Inferno,2016
The Misfits,2021
The Naked Gun: From the Files of Police Squad!,1988
Jesus,1979
Season of the Witch,2011
American Assassin,2017
Fantastic Four: Rise of the Silver Surfer,2007
The Final Conflict,1981
Body of Lies,2008
Risen,2016
Ava,2020
Hot Shots! Part Deux,1993
Mr. Peabody & Sherman,2014
Heaven Is for Real,2014
Lara Croft: Tomb Raider,2001
Sex and the City 2,2010
The Scorpion King: Book of Souls,2018
The Core,2003
Cleopatra,1963
The Man with the Golden Gun,1974
The Book of Clarence,2024
Hitman,2007
London Has Fallen,2016
Robin Hood,2018
The A-Team,2010
The Book of Daniel,2013
Golda,2023
Jarhead,2005
Dracula Untold,2014
The Scorpion King 2: Rise of a Warrior,2008
Mary Magdalene,2018
The Scorpion King,2002
Zero Dark Thirty,2012
Captain Phillips,2013
Replicas,2018
"Paul, Apostle of Christ",2018
Alexander,2004
Operation Finale,2018
Son of God,2014
Mannequin,1987
Cherry,2021
The Return of Jafar,1994
Bill & Ted Face the Music,2020
Robin Hood: Men in Tights,1993
The Reaping,2007
Catwoman,2004
The Promise,2016
The Last Temptation of Christ,1988
Ben-Hur,2016
Aladdin and the King of Thieves,1996
The Scorpion King 3: Battle for Redemption,2012
Argo,2012
King of Kings,1961
The Scorpion King 4: Quest for Power,2015
The 13th Warrior,1999
Southland Tales,2007
Air Force One,1997
Around the World in 80 Days,2004
The Darkest Hour,2011
The Bucket List,2007
Rosemary's Baby,1968
"10,000 BC",2008
The Hurt Locker,2008
The Rebound,2009
Jesus Christ Superstar,1973
The Physician,2013
The English Patient,1996
The Manchurian Candidate,2004
The Lucky One,2012
Samson,2018
Scooby-Doo! in Where's My Mummy?,2005
Buried,2010
Killer Elite,2011
Dracula 2000,2000
The Delta Force,1986
Children of the Corn,1984
The Marine,2006
Courage Under Fire,1996
All the Money in the World,2017
Malcolm X,1992
Midnight Express,1978
Sorcerer,1977
Tinker Tailor Soldier Spy,2011
The Nativity Story,2006
Three Kings,1999
The Seventh Sign,1988
Transformers: Revenge of the Fallen,2009
Billy Lynn's Long Halftime Walk,2016
Megan Leavey,2017
The Wall,2017
Patton,1970
East of Eden,1955
Deliver Us from Evil,2014
The Book of Esther,2013
The Kingdom,2007
The 7th Voyage of Sinbad,1958
The Fall,2006
The Young Messiah,2016
The Adventures of Baron Munchausen,1988
Green Zone,2010
The Message,1976
Monster Family,2017
Appointment with Death,1988
The Star,2017
The Golden Voyage of Sinbad,1973
Bad Lieutenant,1992
Official Secrets,2019
Transformers,2007
Thank You for Your Service,2017
The Men Who Stare at Goats,2009
The Sisterhood of the Traveling Pants 2,2008
The Devil's Double,2011
The Lords of Salem,2013
Exorcist: The Beginning,2004
The International,2009
Spy Game,2001
Fair Game,2010
A Hologram for the King,2016
Hotel Transylvania: Transformania,2022
Hotel Transylvania 3: Summer Vacation,2018
Aladdin,1992
Hotel Transylvania,2012
Hotel Transylvania 2,2015
Noah,2014
Monster High: The Movie,2022
Ooops! Noah Is Gone...,2015
Year One,2009
The Day the Earth Stood Still,2008
The Sum of All Fears,2002
Crooked House,2017
Fantasia 2000,1999
Water for Elephants,2011
Around the World in Eighty Days,1956
The Monster Squad,1987
