Native-Americans,Release year
Eternals,2021
The Emperor's New Groove,2000
Spirit: Stallion of the Cimarron,2002
Peter Pan,1953
Pocahontas II: Journey to a New World,1998
Gravity,2013
Brother Bear,2003
On Deadly Ground,1994
Killers of the Flower Moon,2023
Prey,2022
Apocalypto,2006
Wind River,2017
The New Mutants,2020
John Carter,2012
The Revenant,2015
Peter Pan & Wendy,2023
Pet Sematary,1989
Dances with Wolves,1990
Creepshow 2,1987
The Outlaw Josey Wales,1976
The Last of the Mohicans,1992
Peter Pan,2003
The Ridiculous 6,2015
The Amityville Horror,2005
Hostiles,2017
The Lone Ranger,2013
Free Willy,1993
Free Willy 3: The Rescue,1997
The Amityville Horror,1979
Thunderheart,1992
The New World,2005
Pathfinder,2007
Jeremiah Johnson,1972
Chato's Land,1972
Dead Man,1995
Geronimo: An American Legend,1993
3 Ninjas Knuckle Up,1995
The Indian in the Cupboard,1995
Ravenous,1999
Black Robe,1991
News of the World,2020
