Islam,Release year
Iron Man,2008
Guy Ritchie's The Covenant,2023
Kingdom of Heaven,2005
Aladdin,2019
Rambo III,1988
Three Thousand Years of Longing,2022
The Prince of Egypt,1998
Joseph: King of Dreams,2000
Clash of the Titans,2010
War Dogs,2016
True Lies,1994
You Don't Mess with the Zohan,2008
12 Strong,2018
The Living Daylights,1987
Body of Lies,2008
London Has Fallen,2016
Lone Survivor,2013
The Old Guard,2020
Zero Dark Thirty,2012
Eagle Eye,2008
The Return of Jafar,1994
25th Hour,2002
War Machine,2017
Jack Ryan: Shadow Recruit,2014
Vice,2018
The Day of the Jackal,1973
Whiskey Tango Foxtrot,2016
Dear John,2010
Malcolm X,1992
Executive Decision,1996
The Siege,1998
Gandhi,1982
Hotel Mumbai,2019
The Kingdom,2007
The Kite Runner,2007
The 7th Voyage of Sinbad,1958
All the Old Knives,2022
The Kill Team,2019
The Message,1976
United 93,2006
Postal,2007
Remember Me,2010
Lions for Lambs,2007
Charlie Wilson's War,2007
Wishmaster: The Prophecy Fulfilled,2002
Hyena Road,2015
Lion of the Desert,1981
