Jewish,Release year
The Zone of Interest,2023
One Life,2023
Indiana Jones and the Dial of Destiny,2023
Exodus: Gods and Kings,2014
Back to Black,2024
The Passion of the Christ,2004
It,2017
The Ten Commandments,1956
Schindler's List,1993
Inglourious Basterds,2009
It Chapter Two,2019
Call Me by Your Name,2017
Drive,2011
The Boy in the Striped Pyjamas,2008
The Fabelmans,2022
Three Thousand Years of Longing,2022
Uncut Gems,2019
American History X,1998
The Prince of Egypt,1998
Joseph: King of Dreams,2000
The Pianist,2002
Once Upon a Time in America,1984
Beau Is Afraid,2023
Noah,2014
Redeeming Love,2022
The Reader,2008
Jojo Rabbit,2019
"New York, I Love You",2008
You Don't Mess with the Zohan,2008
The Fault in Our Stars,2014
The Book of Daniel,2013
You Are So Not Invited to My Bat Mitzvah,2023
Borat Subsequent Moviefilm,2020
BlacKkKlansman,2018
Annie Hall,1977
Little Fockers,2010
L.A. Confidential,1997
Operation Finale,2018
Son of God,2014
Ooops! Noah Is Gone...,2015
The Reaping,2007
The Day the Earth Stood Still,2008
The Unborn,2009
The Cobbler,2014
Defiance,2008
This Is Where I Leave You,2014
The French Connection,1971
Samson,2018
An American Tail,1986
Fantasia 2000,1999
Driving Miss Daisy,1989
The Book Thief,2013
A Serious Man,2009
East of Eden,1955
The Great Gatsby,1974
The Man with the Iron Heart,2017
The Book of Esther,2013
Woman in Gold,2015
The Zookeeper's Wife,2017
Fiddler on the Roof,1971
Deconstructing Harry,1997
Barton Fink,1991
Chariots of Fire,1981
Pi,1998
The Boys from Brazil,1978
Armageddon Time,2022
The Merchant of Venice,2004
The Night Before,2015
The Believer,2001
The Red Sea Diving Resort,2019
Bugsy,1991
Apt Pupil,1998
Three Identical Strangers,2018
The Secrets We Keep,2020
Shine,1996
Hoodlum,1997
The Cotton Club,1984
Remember,2015
