Bisexual,Release year
The Imitation Game,2014
Bohemian Rhapsody,2018
Challengers,2024
Saltburn,2023
Call Me by Your Name,2017
Maestro,2023
The Grand Budapest Hotel,2014
"Red, White & Royal Blue",2023
Cloud Atlas,2012
The Talented Mr. Ripley,1999
Brokeback Mountain,2005
Alexander,2004
The Craft: Legacy,2020
Dog Day Afternoon,1975
Mute,2018
Shame,2011
Sexy Beast,2001
Cabaret,1972
I Love You Phillip Morris,2010
My Own Private Idaho,1991
The Disappearance of Alice Creed,2009
Seeking a Friend for the End of the World,2012
The Opposite of Sex,1998
Velvet Goldmine,1998
Chasing Amy,1997
The Rules of Attraction,2002
Kinsey,2004
Babylon,2022
Strictly Confidential,2024
Bound,1996
Spartacus,1960
Mulholland Drive,2001
Bottoms,2023
Black Swan,2010
Showgirls,1995
Jennifer's Body,2009
Basic Instinct,1992
Atomic Blonde,2017
Rough Night,2017
The Dreamers,2003
Imagine Me & You,2006
Manhattan,1979
Curse of Chucky,2013
Monster,2003
The Favourite,2018
Wild Things,1998
Justice League Dark: Apokolips War,2020
Planet Terror,2007
Bitter Moon,1992
Professor Marston and the Wonder Women,2017
"Girl, Interrupted",1999
American Hustle,2013
A Dirty Shame,2004
Color of Night,1994
The Hunger,1983
Vicky Cristina Barcelona,2008
Frida,2002
Poison Ivy,1992
Thirteen,2003
Gia,1998
Henry & June,1990
The Black Dahlia,2006
Wild Things 2,2004
Side Effects,2013
The Crying Game,1992
Go,1999
Pink Flamingos,1972
The Rocky Horror Picture Show,1975
The Happytime Murders,2018
Fright Night 2: New Blood,2013
Women in Love,1969
Wild Things: Diamonds in the Rough,2005
Boys on the Side,1995
May,2003
