Gay,Release year
Green Book,2018
Shazam! Fury of the Gods,2023
It Chapter Two,2019
Eternals,2021
Lady Bird,2017
Nimona,2023
American Fiction,2023
Call Me by Your Name,2017
Knock at the Cabin,2023
All of Us Strangers,2023
Get Real,1998
"Red, White & Royal Blue",2023
Sausage Party,2016
Jungle Cruise,2021
Clueless,1995
Rocketman,2019
Strange World,2022
American Beauty,1999
The Perks of Being a Wallflower,2012
What Men Want,2019
Halloween Kills,2021
"Love, Simon",2018
Brokeback Mountain,2005
RocknRolla,2008
The Old Guard,2020
Alexander,2004
All the Beauty and the Bloodshed,2022
Philadelphia,1993
Cruising,1980
Four Weddings and a Funeral,1994
A Dog's Way Home,2019
As Good as It Gets,1997
The Jackal,1997
The Boondock Saints,1999
Uncle Frank,2020
Cursed,2005
Boy Erased,2018
Happiest Season,2020
The Birdcage,1996
Cabaret,1972
I Love You Phillip Morris,2010
Alex Strangelove,2018
My Own Private Idaho,1991
Joe Bell,2020
Euphoria,2018
Kill Your Darlings,2013
The Disappearance of Alice Creed,2009
A Single Man,2009
The Opposite of Sex,1998
Dorian Gray,2009
"The Adventures of Priscilla, Queen of the Desert",1994
Behind the Candelabra,2013
Milk,2008
Fame,1980
Capote,2005
But I'm a Cheerleader,2000
Boat Trip,2002
"South Park: Bigger, Longer & Uncut",1999
