Trans-Nonbinary,Release year
Predestination,2014
Boys Don't Cry,1999
Wendell & Wild,2022
Elemental,2023
Inside Out,2015
Alien,1979
The Matrix,1999
Monkey Man,2024
Nimona,2023
Next Goal Wins,2023
The Matrix Resurrections,2021
The Hangover Part II,2011
Forbidden Zone,1980
Seed of Chucky,2004
A Man Called Otto,2022
The World's Fastest Indian,2005
Ace Ventura: Pet Detective,1994
Life of Brian,1979
Monster High: The Movie,2022
The Craft: Legacy,2020
Dr. Jekyll and Ms. Hyde,1995
Splice,2010
Joy Ride,2023
Dressed to Kill,1980
"To Wong Foo, Thanks for Everything! Julie Newmar",1995
The Heat,2013
Color of Night,1994
The Animatrix,2003
The Kings of Summer,2013
Dog Day Afternoon,1975
Women Talking,2022
West Side Story,2021
Dallas Buyers Club,2013
My Big Fat Greek Wedding 3,2023
Flawless,2007
Fun with Dick and Jane,2005
Escape from L.A.,1996
Being John Malkovich,1999
Sleepaway Camp,1983
The Danish Girl,2015
Bent,2018
The Crying Game,1992
The Rocky Horror Picture Show,1975
Midnight in the Garden of Good and Evil,1997
The Silence of the Lambs,1991
"The Adventures of Priscilla, Queen of the Desert",1994
Leprechaun in the Hood,2000
Hedwig and the Angry Inch,2001
But I'm a Cheerleader,2000
