Categories,lower_bound,upper_bound
harassment,0.4399948716,0.4400001764
harassment/threatening,0.309992075,0.3100365102
harassment_threatening,0.309992075,0.3100365102
hate,0.3999980688,0.4000017047
hate/threatening,0.1097287461,0.1101396531
hate_threatening,0.1097287461,0.1101396531
self-harm,0.3982075751,0.4000144899
self-harm/instructions,0.1191066876,0.1203001142
self-harm/intent,0.2746550441,0.282941103
self_harm,0.3982075751,0.4000144899
self_harm_instructions,0.1191066876,0.1203001142
self_harm_intent,0.2746550441,0.282941103
sexual,0.5297676921,0.5302000046
sexual/minors,0.3199166358,0.3203194737
sexual_minors,0.3199166358,0.3203194737
violence,0.5799996257,0.5801237226
violence/graphic,0.7088294625,0.7114416957
violence_graphic,0.7088294625,0.7114416957
