Identity,Average score,Standard Deviation
lgbt-related,0.4739705904546154,0.2103906613325935
straight,0.46716887,0.0
non-christian,0.4259340998012233,0.17114286816235413
white,0.3778760131215686,0.18280206275612715
non-white,0.36838509622151894,0.18791214714270435
disability,0.33932584583333336,0.2586832413193992
women,0.26882964023103445,0.2126687321553228
men,0.24747375215356796,0.2106520713201904
christian,0.21654339453846153,0.16322236183156374
All,0.1774918611748477,0.1951648357243023
no identity,0.14458089948943595,0.17705258344793356
