show_name,episode_title,genres,age_rating,release_date,tags
Petticoat Junction,Spur Line to Shady Rest,[],TV-PG,Release date,"['apple', 'hat', 'fried chicken', 'myna bird', 'elevator', 'swimming in a water tower', 'board meeting', 'diesel electric locomotive', 'passenger train']"
Petticoat Junction,"Quick, Hide the Railroad",[],TV-PG,Release date,[]
Petticoat Junction,The President Who Came to Dinner,[],TV-PG,Release date,[]
Petticoat Junction,The Courtship of Floyd Smoot,[],TV-PG,Release date,"['old bachelor', 'toupee', 'kneeling to propose marriage', 'the birds and the bees', 'blueberry pie']"
Petticoat Junction,Please Buy My Violets,[],TV-PG,Release date,"['get rich quick scheme', 'traveling salesman', 'cologne', 'passenger train', 'mosquito', 'suitcase', 'bed and breakfast', 'aerosol can', 'insecticide']"
Petticoat Junction,Kate's Recipe for Hot Rhubarb,[],TV-PG,Release date,"['dating', 'traveling salesman', 'desk bell']"
Petticoat Junction,Uncle Joe's Replacement,[],TV-PG,Release date,[]
Petticoat Junction,Honeymoon Hotel,[],TV-PG,Release date,[]
Petticoat Junction,A Night at the Hooterville Hilton,[],TV-PG,Release date,"['faint', 'smelling salts', 'doctor', 'unconscious', 'fainting at the sight of blood', 'ill', 'braids', 'swimming pool', 'bowling alley', 'brochure', 'steam room', 'tennis court', 'ice skating rink', 'reference to harpo marx', 'blond wig', 'golf course']"
Petticoat Junction,Cannonball Christmas,[],TV-PG,Release date,"['christmas episode', 'kissing under the mistletoe', 'christmas caroling', 'three sisters', 'steam locomotive', 'christmas decorations', 'detached train car', 'woman kisses a man', 'mother daughter relationship', 'stolen kiss', 'man trips and falls', 'train engineer', 'inspector', 'company president', 'calling someone scrooge', 'reference to bob cratchit', 'reference to tiny tim', 'train running in reverse', 'private plane', 'running after a train', 'handcar', 'bah humbug', 'uncle niece relationship', 'cow', 'christmas tree', 'cigar store indian', 'mistletoe', 'dressing up as santa claus', 'bell 47 helicopter', 'milk bucket', 'christmas carols', 'character says merry christmas', ""santa's sleigh"", 'roll call opening credits', 'end credits roll call', 'remade', 'christmas', 'christmas eve', 'train', 'railroad', 'milking a cow', 'helicopter', 'hand car', 'general store', 'eggnog', 'christmas carolling']"
Petticoat Junction,Hooterville vs. Hollywood,[],TV-PG,Release date,[]
Petticoat Junction,Visit from a Big Star,[],TV-PG,Release date,"['movie star', 'secretary']"
Petticoat Junction,Last Chance Farm,[],TV-PG,Release date,"['turnip greens', 'locomotive', 'orange tabby cat', 'bathroom scale', 'whittling', 'painting a fence', 'chopping wood', 'suitcase', 'wheelbarrow', 'passenger train', 'gold locket', 'reference to madame bovary']"
Petticoat Junction,The Very Old Antique,[],TV-PG,Release date,[]
Petticoat Junction,The Art Game,[],TV-G,Release date,[]
Petticoat Junction,Betty Jo's First Love,[],TV-G,Release date,[]
Petticoat Junction,"Behind All Silver, There's a Cloud Lining",[],TV-G,Release date,[]
Petticoat Junction,The Talent Contest,[],TV-G,Release date,[]
Petticoat Junction,Kate and the Manpower Problem,[],TV-G,Release date,[]
Petticoat Junction,The Ladybugs,[],TV-G,Release date,[]
Petticoat Junction,The Hooterville Flivverball,[],TV-G,Release date,[]
Petticoat Junction,Kate the Stockholder,[],TV-G,Release date,[]
Petticoat Junction,Kate and the Dowager,[],TV-G,Release date,[]
Petticoat Junction,Charley Abandons the Cannonball,[],TV-G,Release date,[]
Petticoat Junction,Dog Days at Shady Rest,[],TV-G,Release date,['dog']
Petticoat Junction,A Millionaire for Kate,[],TV-G,Release date,[]
Petticoat Junction,Bedloe and Son,[],TV-G,Release date,[]
Petticoat Junction,Local Girl Makes Good,[],TV-G,Release date,[]
Petticoat Junction,Cave Woman,[],TV-G,Release date,[]
