episode_link,wiki_url,description,genres,age_rating,release_date,directors,writers,cast,tags,character_names,synopsis_with_character_names
https://www.imdb.com/title/tt1832716/?ref_=ttep_ep8,,Prim Rarity and straightforward Applejack are forced to spend the night together at Twilight's.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['sleepover', 'storm']",[],"While preparing for a rain storm put on by the Pegasus Ponies, Applejack and Rarity butt heads regarding how to prepare. Rarity does things neatly and takes her time, while Applejack's methods are a little more fast and dirty.

However, in the middle of their argument, the rain starts up. Being too far away from their own homes, they hear Twilight calling to them from her place nearby. Taking shelter inside, Twilight feels that with 2 of her friends unable to leave because of the storm, they should have a slumber party!

Both Rarity and Applejack want to leave and get away fro each other, but upon Twilight insisting she's never had a slumber party before (but always wanted to have one!), they decide to stay for her sake.

During the course of the evening, they do everything from makeovers, make s'mores, play truth-or-dare, and have a pillow fight, with each task making Applejack and Rarity even more upset with the others.

Finally when it's time for bed, the two are unable to sleep, making a loud racket, causing Twilight to yell she isn't having a good time.

Just then, a lightning bolt strikes a nearby tree, which crashes through a nearby window. Applejack and Rarity begin to argue again, before finally realizing that it's getting them nowhere. Putting aside their differences, they manage to clean up the mess, just as the storm ends."
https://www.imdb.com/title/tt1832712/?ref_=ttep_ep9,,"When Twilight Sparkle and her friends come down with bizarre conditions, a mysterious zebra is blamed and pursued.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['zebra', 'sister sister relationship', 'breaking the fourth wall']",[],"Twilight Sparkle is surprised when all of Ponyville shutters its doors when a Zebra named Zecora comes into town. Her friends explain that Zecora lives in the Everfree Forest. Though noone's taken time to talk to the Zebra, many of them assume she does evil things.

Twilight refuses to believe this, when she and the others notice Applebloom is missing! They follow her trail to the Everfree forest, finding her on the edge of a field of blue flowers. Zecora is also there, and warns the ponies to 'beware!'

All of them return home and go to sleep, but wake up the next day with strange afflictions:

-Twilight Sparkle's unicorn horn has softened

-Pinkie Pie's tongue has swollen up, and all she can do is spit

-Rainbow Dash's wings are inverted, and she is unable to fly properly.

-Rarity's hair has grown incredibly long, hindering her sight and movement.

-Applejack has shrunk to a small size

-Fluttershy's voice is deeper and male-sounding

Almost everyone assumes that Zecora has placed a curse on them. As they discuss this, Applebloom sneaks away, but is tagged along by Applejack, who hides in her hair. As Applebloom nears the Everfree Forest, Applebloom comes out of hiding, and demands her sister go back to Ponyville. However, Applebloom refuses, and places her 'little' sister on a tree branch, before wandering back on her way to Zecora's.

Shortly afterwards, the others find Applejack, and continue on their way to Zecora's, where they see her working over a bubbling pot, and wondering just where Applebloom is.

The others then burst into her hut, assuming she is going to cook Applebloom, before Applebloom appears in the doorway, having returned from finding some ingredients for Zecora.

Both Applebloom and Zecora explain that the reason for the pony's afflictions, was due to their encounter with the field of blue flowers the previous day. The flower is called 'poison joke,' and Zecora was making a cure for them. However, not all of the ingredients she has will work, and she needs to get them from Ponyville.

The others help Zecora return to Ponyville, and show the others in town that they have nothing to fear. Eventually, the girls are returned to normal."
https://www.imdb.com/title/tt1832717/?ref_=ttep_ep10,,"Just before a royal visit, Ponyville is infested with a cute but destructively ravenous and prolific swarm of insects.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],['banjo'],[],"Parasprites, furry little multiplying creatures, descend upon Ponyville and begin to devour everything and its up to the ponies to find a solution."
https://www.imdb.com/title/tt1832718/?ref_=ttep_ep11,,"During Ponyville's annual outdoor spring cleanup, Twilight Sparkle struggles to find a way she can pitch in.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['skunk', 'magic spell', 'bathtub', 'animal care', 'farm']",[],Twilight Sparkle does her best to prepare for the upcoming Winter Wrap-Up without relying on her magic to help.
https://www.imdb.com/title/tt1832713/?ref_=ttep_ep12,,"Applejack's little sister Apple Bloom is driven to get a ""cutie mark"" after most of her classmates receive one.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['sister sister relationship', 'party']",[],"After a lesson in cutie marks at school, Applebloom is sad that she still doesn't seem to have hers. The mood isn't helped when classmates Diamond Tiara and Silver Spoon make fun of her, and display their own that they have gotten. Even so, the two have invited Applebloom to Diamond Tiara's 'Cutecinera.'

Applebloom angrily tells how she is upset at not having her cutie mark, and Applejack claims that she took time to get hers too. Hearing this, Applebloom assumes that maybe she needs to help her sister to get hers. However, her many attempts to help sell apples just annoy other ponies to the point, that Applejack sends her away.

Pinkie Pie asks for Applebloom's help in baking, but the results offer no results.

Twilight Sparkle comes by, and knowing of her magical powers, Applebloom begs Twilight to make a cutie mark appear. However, no magic can make a cutie mark appear before its time, and all of Twilight's attempts quickly fade.

Rainbow Dash even puts Applebloom through all sorts of sports, but each attempt brings about nothing.

Eventually, Applebloom goes to the Cutecinera, but wears a make-shift skirt to hide her blank-flank. However, when she gets it caught and the skirt comes off, she is made fun of by several of the kids (including Diamond Tiara), when two voices suddenly come to Applebloom's defense.

The two fillies are Sweetie Belle and Scootaloo, who also do not have cutie marks. Applebloom then decides to create a club with the girls, called the Cutie Mark Crusaders, with the attempt to find out what their special talents are."
https://www.imdb.com/title/tt1832715/?ref_=ttep_ep13,,Rainbow Dash and Applejack find themselves in an increasingly overheated athletic rivalry.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],['athletic competition'],[],"When Rainbow Dash and Applejack compete against each other in the annual Running of the Leaves, competition turns sour and the ponies do whatever it takes to win."
https://www.imdb.com/title/tt1836489/?ref_=ttep_ep14,,"When Rarity's dressmaking instincts are overruled by her friends' esoteric specifications, the ridiculous results threaten to ruin her prospects with a famous fashion designer.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['fluttering eyelids', 'party', 'disappointment']",[],"Rarity offers to make dresses for her friends for the upcoming Gala but gets in over her head when she tries to incorporate all of their individual styling ideas.

When Twilight Sparkle stops by Rarity's with a dress she would like to have mended for the upcoming Grand Galloping Gala. However, Rarity claims that the dress does not seem formal enough for such a major event, and gets a most generous idea: create gown for herself and all of their friends who are going, and then put on a fashion show afterwards to show them off!

After happily working through her designs based on what she knows of her friends, Rarity eagerly shows them off...but is met with a lukewarm reception. She then vows to take the others' comments regarding improvements. However, the final results look more garish.

Even so, Spike lets slip to fashion critic Hoity-Toity of Rarity's latest fashion designs and the upcoming show. Rarity goes through with showing the dresses, but every pony that is there doesn't think much of the altered designs, and Hoity-Toity finds them horrible.

This sends Rarity into a depressive state, and her friends feel bad for how they seemed to take advantage of her generosity. They then surprise Rarity by finishing the dress she wanted to make for herself, and claim that their friend's designs were much better than theirs.

They then get Hoity-Toity to go for a second showing, and showcase the original designs Rarity made, which greatly impress him. Hoity then asks Rarity to help him with an upcoming fashion showcase of his own."
https://www.imdb.com/title/tt1843580/?ref_=ttep_ep15,,Twilight Sparkle is obsessively determined to discover the secret of Pinkie Pie's uncannily accurate intuitions.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['monster', 'bathtub', 'arm in a sling', 'anvil']",[],"Amazed with Pinkie Pies ability to predict the future, Twilight Sparkle follows her around in order to uncover the source of her incredible abilities."
https://www.imdb.com/title/tt1850770/?ref_=ttep_ep16,,"Rainbow Dash is preparing for the Best Young Flyer competition, so Twilight Sparkle casts a spell that gives Rarity temporary wings and the rest of them the ability to walk on clouds like Pegasi.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['falling from height', 'magic spell']",[],"When Twilight uses her magic to give Rarity wings so that she can watch Rainbow Dash compete in a race, Rarity is so taken with her new ability that she disrupts the competition."
https://www.imdb.com/title/tt1850771/?ref_=ttep_ep17,,Fluttershy's ill-considered offer to let the rambunctious Cutie Mark Crusaders sleep over at her house drives her to distraction and then danger.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['cockatrice', 'monster', 'sister sister relationship', 'babysitting', 'animal care']",[],"Fluttershy offers to babysit the Cutie Mark Crusaders but quickly discovers that they are more than she can handle.

Applebloom, Sweetie Belle, and Scootaloo are planning to have a sleepover at Rarity's, but due to a major fashion order, Rarity does not have the time to watch them. However, Fluttershy offers to help, figuring since she handles animals well, she should be able to handle the three girls.

However, the three prove to be more rambunctious than she imagined. Just when she thinks she has got the three under control, they take off into the Everfree Forest, in search of one of Fluttershy's chickens that has run off.

Going after them, Fluttershy is shocked to find Twilight Sparkle, turned to stone! Knowing this to be the work of a creature known as a cockatrice, she quickly locates the girls, but not before the cockatrice shows up, and turns her missing chicken to stone as well. Fluttershy then faces off against the Cockatrice, and using her stare powers,' causes it to back down, and undo its curse on her chicken and Twilight. The three girls happily cheer on Fluttershy's power, with Scootaloo dubbing her 'The Stare Master.'

The next day, Twilight compliments Fluttershy on handling the girls, but Fluttershy claims that she did take on more than she could handle. Even so, when Rarity stops by to pick the three up, she is shocked when Fluttershy tells them to get ready, and they snap to attention."
https://www.imdb.com/title/tt1850769/?ref_=ttep_ep18,,"The Cutie Mark Crusaders enter a talent contest, but their refusal to play their individual talents leads to a hilarious disaster.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['fictional talent show', 'dancing', 'montage', 'sister sister relationship']",[],The Cutie Mark Crusaders sign up for a talent show hoping to discover their true life meaning and finally earn their cutie marks.
https://www.imdb.com/title/tt1850767/?ref_=ttep_ep19,,"When Rarity is kidnapped by Diamond Dogs, she makes them regret it even as her friends try to rescue her.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['animal in title', 'animal in episode title', 'rescue', 'forced labor', 'captivity', 'turning the tables', 'whining', 'fantasy sequence', 'magic spell']",[],"While hunting in the woods for gems for a new dress, Rarity is taken by a group of greedy Diamond Dogs and forced to find jewels for them.

When famous performer Sapphire Shores stops by Rarity's boutique, Rarity springs into action to get enough jewels for the five outfits she requests.

Spike is enlisted to help Rarity dig up jewels, but as they do so, they are accosted by 3 animals known as 'Diamond Dogs.' Seeing Rarity's gem-finding skills, they kidnap her, and take her deep underground.

Spike enlists the help of the other ponies to rescue her, with each of them worried of how Rarity is faring.

However, Rarity ends up driving the Diamond Dogs crazy, by refusing to dig, haul jewels, whining, and weeping when one of them calls her a 'mule.'

Eventually, her friends find her, and by this time, the Diamond Dogs just want her gone. Rarity happily leaves, along with plenty of jewels to finish her outfits."
https://www.imdb.com/title/tt1850768/?ref_=ttep_ep20,,Rarity's use of a reluctant Fluttershy as her model to impress a fashion photographer backfires when the photographer only becomes interested in using her friend.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],['jealousy'],[],"Rarity recruits Fluttershy as a model in hopes of impressing a famous designer with her dresses, but its Fluttershys modeling career that takes off instead!"
https://www.imdb.com/title/tt1862910/?ref_=ttep_ep21,,Twilight Sparkle and her friends find themselves in the middle of a territorial conflict between a pony town and a bison tribe.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['train', 'buffalo', 'battle', 'farm']",[],The ponies work to settle a complicated land dispute between the Appleloosans and a herd of buffalo fighting over the same territory.
https://www.imdb.com/title/tt1862909/?ref_=ttep_ep22,,Fluttershy takes it upon herself to treat Princess Celestia's ailing bird without permission.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['party', 'breaking the fourth wall', 'animal care']",[],"Without asking permission, Fluttershy borrows the Princesss sick bird in order to heal it, and the ponies must work together to get it back before she notices.

Fluttershy and her friends are invited to an afternoon Tea with Princess Celestia at Sugar Cube Corner. Also with the Princess is her pet bird, Philomena. However, the Princess' pet looks quite sickly, and unseen by the Princess, Fluttershy takes her back to her cottage.

Fearing that the Princess doesn't have the time to care for her bird, Fluttershy attempts to nurse Philomena back to health. However, each of her attempts does nothing to help.

Twilight Sparkle drops by, and is shocked to find what Fluttershy has done. She is further shocked when the Princess' guards show up at the door, asking if the two have seen the Princess' missing pet.

Fluttershy and Twilight attempt to return Philomena, but she runs off with the two in hot pursuit. They finally corner her at a fountain in town, when the bird suddenly coughs, and falls from the top of the fountain. Fluttershy rushes to catch her, but as she does, Philomena bursts into flames, and turns to ash.

Princess Celestia shows up just then, and Fluttershy confesses to taking Philomena, and shows her the pile of ashes. However, Celestia surprises everyone when she tells Philomena to 'stop playing around.' Suddenly, the pile of ashes turns into a striking red bird, and Celestia explains that Philomena is a Phoenix.

In her own way, Philomena apologizes to Fluttershy, and gives her one of her bright red feathers."
https://www.imdb.com/title/tt1862911/?ref_=ttep_ep23,,"The Cutie Mark Crusaders ask Applejack, Fluttershy, Rarity, Twilight, Pinkie, and Rainbow Dash how they got their cutie marks.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['younger version of character', 'origin story', 'flashback', 'sister sister relationship']",[],"Frustrated with their lack of success, The Cutie Mark Crusaders seek out Twilight and the rest of the ponies to learn the stories of how they got their cutie marks."
https://www.imdb.com/title/tt1872444/?ref_=ttep_ep24,,"When an owl becomes Twilight Sparkle's nighttime assistant to ease Spike's workload, the insecure baby dragon becomes jealous.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],[],[],"When Twilight becomes friends with an Owl who helps her around the house with chores, Spike becomes jealous and fears he will be replaced."
https://www.imdb.com/title/tt1880664/?ref_=ttep_ep25,,Pinky Pie takes her friends' apparent avoidance of her personally to a manic degree.,[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['dancing', 'party', 'birthday party', 'farm']",[],"Pinkie Pie invites her friends over to celebrate her pet alligator Gummi's birthday party. As they leave, Pinkie's friends compliment her on another great party, and mention that she should throw another party again real soon.

The next day, Pinkie goes to each of her friends and tells them that she's throwing an after-party for Gummi that very afternoon. However, each of her friends tells Pinkie that they are busy with other things.

Pinkie Pie's suspicions are further raised when she notices Twilight Sparkle picking up something from the bakery, and seeing the wrapped item passed along to each of her friends. Eventually, it passes into the hooves of Rainbow Dash, and Pinkie Pie follows her friend straight to AppleJack's barn. AppleJack denies anything is going on, and Pinkie leaves, even more convinced that her friends are spiting her behind her back.

Hoping to get more information, she offers Spike some jewels if he will tell her ""that her friends are lying and avoiding her, because they don't like her parties and don't want to be her friend anymore."" Not sure exactly why she wants to hear this, Spike repeats what she just said, and Pinkie thinks she's figured it out...but then loses the bounce in her pink hair, as she truly believes this to be the case.

Even so, she holds Gummi's after-party, but with makeshift 'friends' made out of things like a bucket of turnips, a sack of flour, and a stack of rocks. Rainbow Dash soon stops by, and tries to get her to come by Applejack's barn, but Pinkie refuses. Finally, after some forceful shoving, Rainbow Dash manages to get her friend to come along, and Pinkie finds all the other ponies waiting for her inside the barn with a surprise party.

At first, Pinkie Pie misconstrues this as a surprise 'farewell party,' still believing that her friends are disowning her. However, they soon convince her that she's wrong, and that it's not her farewell party, but her Birthday party! Apparently, the group had been planning this for some time, and that is why they couldn't make it to Gummi's after-party party.

With reassurance that her friends still love her, the bounce returns to Pinkie Pie's hair, and she parties with her friends."
https://www.imdb.com/title/tt1880665/?ref_=ttep_ep26,,"Twilight Sparkle and her friends finally attend the Grand Galloping Gala, which disastrously doesn't live up to their expectations.",[],TV-Y,Release date,"['Jayson Thiessen', 'James Wootton']","['', '', '']",[],"['reference to cinderella', 'dancing', 'party']",[],"Expectations are high for the Grand Galloping Gala but when the ponies arrive they find that their individual interests in the Gala are not all they had hoped for.

The day of the Grand Galloping Gala has finally arrived, and all 6 of the ponies are eager to attend. Though Twilight tells Spike that they will be spending time together at the Gala, each of the ponies has her own agenda:

-Twilight Sparkle wishes to spend time with Princess Celestia -Applejack plans to sell her family's apple products -Rainbow Dash wants to meet the Wonderbolts -Rarity hopes to meet a handsome Prince -Pinkie Pie hopes to have fun partying -Fluttershy is looking forward to roaming the Canterlot Gardens and seeing the animals there

Once they all arrive, each of the 6 goes their separate ways (including Spike, who instead of attending the party, goes to a nearby donut shop). However, each of the ponies soon finds their expectations let down:

-Twilight Sparkle ends up receiving and greeting guests along with the Princess -Applejack finds few takers willing to buy her goods -Rainbow Dash gets to hang out with the Wonderbolts, but they are soon preoccupied with other matters -Rarity meets Prince Blueblood, but finds him more concerned with himself than anyone else -Pinkie Pie's partying ways seem 'unrefined' compared to others -Fluttershy is unable to find any of the garden's creatures to make friends with

Each of the 6 then plans to do whatever they can to make it the best night ever. But in the end, the Gala dissolves into chaos, and (at the Princess' suggestion) all 6 quickly beat a hasty retreat.

They find Spike at the donut shop, and are also soon joined by Celestia. The Princess claims to have enjoyed how the night went, and even though it didn't go as planned, all of them claim they enjoyed the night as well!"
https://www.imdb.com/title/tt2138563/?ref_=ttep_ep1,,"Sheriff Longmire runs a small department in rural Wyoming. When the body of a man is found in the woods the investigation leads to tension between Longmire and the local Indian Reservation, as well as between Longmire and his Indian friend who runs a local bar.",[],Not Rated,Release date,['Christopher Chulack'],"['', '', '']",[],"['run down log cabin', 'murder victim', 'notify next of kin', 'distracted driver', 'living in the past', 'driving while distracted', 'guys dropping trou', 'flock of sheep', 'telephone answering machine', 'snow', 'nighttime', 'gunfire', 'log cabin', 'piano', 'owl', 'barren land', 'herd of deer', 'grieving widow', 'shooting range', 'target practice', 'scars on back', 'male in a shower', 'bare chested male']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2360415/?ref_=ttep_ep2,,"When the body of a young girl is found at a rest stop with a bunch of money, the investigation leads to a group of young Mennonites on rumspringa.",[],Not Rated,Release date,['Michael Uppendahl'],"['', '', '']",[],"['attended by medicine woman', 'bare chested male']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2360413/?ref_=ttep_ep3,,"A barn fire kills not only several prize winning show horses but also the owner. As the investigation continues, it starts to look more like an insurance fraud gone wrong.",[],Not Rated,Release date,['Christopher Chulack'],"['', '', '']",[],"['attending a ceremony', 'disrupting a ceremony', 'sheriff living old school', 'bare chested male']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2365287/?ref_=ttep_ep4,,A double homicide helps uncover a shocking partnership between the Cheyenne reservation and a Mexican drug cartel.,[],Not Rated,Release date,['Gwyneth Horder-Payton'],"['', '', '']",[],['title directed by female'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2395981/?ref_=ttep_ep5,,"Cheyenne boys are disappearing, and the case may be connected to dishonest child welfare workers, a Cheyenne warrior legend, and an an ambitious Cheyenne political leader.",[],Not Rated,Release date,['Alex Graves'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2181676/?ref_=ttep_ep6,,"A paroled killer is mauled by a bear, but Longmire suspects that there is more to the story. Meanwhile, Branch's uncle creates havoc for the sheriff's department.",[],Not Rated,Release date,['Peter Weller'],"['', '', '']",[],['snarky deputy'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2233974/?ref_=ttep_ep7,,"Walt investigates the murder of a beer distributor, where the main suspect is a bronc rider, but a stolen painting and secret affair lead to many motives for the brutal crime.",[],Not Rated,Release date,['Christopher Chulack'],"['', '', '']",[],['cows mating'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2218332/?ref_=ttep_ep8,,"A highly agitated young girl approaches a gas station owner for help. When Sheriff Longmire attends the scene, the owner is dead and the girl is missing. Investigations lead Longmire to existence of a religious cult in the neighboring Cumberland county.",[],Not Rated,Release date,['J. Michael Muro'],"['', '', '']",[],"['damsels in distress', 'tied up while barefoot', 'tied feet']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt2206692/?ref_=ttep_ep9,,"The president of the Reservation Tribal Council is run off the road, shot and killed. Inquiries reveal that the president recently pushed though a council amendment to the blood percentage rule, thereby excluding a significant number of tribe members from their entitlements.",[],Not Rated,Release date,['Steve Robin'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
