episode_link,wiki_url,description,genres,age_rating,release_date,directors,writers,cast,tags,character_names,synopsis_with_character_names
https://www.imdb.com/title/tt0589847/?ref_=ttep_ep18,,Dorothy is afraid to have an operation for a benign growth on her foot.,[],TV-PG,Release date,['Terry Hughes'],"['', '']",[],"['hospital patient', 'hospital', 'knitting', 'reference to pat sajak', 'tap dancing', 'hospital visit', 'reference to medical malpractice', 'reference to elvis presley', 'reference to graceland', 'surgery', 'stage fright', 'reference to shirley temple', 'reference to the lone ranger', 'girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother', 'priest']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589811/?ref_=ttep_ep19,,A wealthy widower with two young children asks Blanche to marry him.,[],TV-PG,Release date,['Gary Shimokawa'],"['', '', '']",[],"['plumber', 'private jet', 'champagne', 'bathroom', 'reference to the ty d bol man', 'toilet', 'misogyny', 'engagement ring', ""shutting a door in someone's face"", 'reference to little richard', 'reference to fats domino', 'home repair', 'girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589710/?ref_=ttep_ep20,,An adult education teacher offers Blanche a passing grade in his course if she sleeps with him.,[],TV-PG,Release date,['Jack Shea'],"['', '', '']",[],"['girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother', 'ticket scalping', 'sexual harassment', 'reference to frank sinatra']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589747/?ref_=ttep_ep21,,"Dorothy, Rose, and Blanche all come down with the flu at the same time.",[],TV-PG,Release date,['Terry Hughes'],"['', '', '']",[],"['golden girl', 'widow', 'allergies', 'mother daughter relationship', 'ladies', 'girl', 'group hug', 'forgiveness', 'sick', 'sorry', 'hug', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother', 'influenza', 'three wise monkeys spoof']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589765/?ref_=ttep_ep22,,Rose loses her job and has trouble finding another one.,[],TV-PG,Release date,['Paul Bogart'],"['', '', '']",[],"['girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother', 'reference to buddy ebsen', 'reference to buster crabbe']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589724/?ref_=ttep_ep23,,Rose's sister Lily must come to terms with the fact that she is blind and needs assistance.,[],TV-PG,Release date,['Terry Hughes'],"['', '']",[],"['sister sister relationship', 'blind character', 'girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother', 'reference to richie havens', 'reference to bob dylan']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589719/?ref_=ttep_ep24,,"Blanche's father visits, telling that he has sold the family mansion to finance his dream to become a country music singer. Dorothy disputes with the girls' next-door neighbor over storm damage.",[],TV-PG,Release date,['Terry Hughes'],"['', '', '']",[],"['girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0589856/?ref_=ttep_ep25,,"The girls remember how they came to live together; Blanche put an ad for a room for rent on a grocery store bulletin board, and Rose and Dorothy answered it.",[],TV-PG,Release date,['Terry Hughes'],"['', '', '']",[],"['flashback', 'reminiscing', 'moving in', 'reference to dale evans', 'tossing a coin', 'characters meet for the first time', 'girl', 'woman', 'women', 'mansion', 'four', 'humor', 'love', 'cake', 'mother']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1392842/?ref_=ttep_ep1,,,,,,,,,,,
https://www.imdb.com/title/tt1393335/?ref_=ttep_ep2,,"Glee Club performs in front of the school for the first time and surprises everyone in the audience. Meanwhile, Rachel realizes her feelings for Finn.",[],TV-PG,Release date,['Ryan Murphy'],"['', '', '']",[],"['censorship', 'inspiration', 'punishment', 'medical examination', 'teen romance', 'satire', 'false pregnancy', 'diva', 'asian girl', 'wanting a baby', 'unrequited love', 'obsessive compulsive disorder', 'love triangle', 'hairbrush as microphone']",[],"Open with Will Schuester arriving at school and running into the core of the glee club. Rachel is pushing for solos, Kurt is being bullied, etc. He thanks guidance counselor Emma Pillsbury for advising him to stay at the school.

Will meets with Cheerios (cheerleading) coach Sue Sylvester, who tells him the glee club is getting cut if it doesn't place at regionals. She points out he must get six more members to even qualify for regionals.

Finn and Quinn argue over his continued involvement in glee while Rachel eavesdrops. Quinn warns her to stay away from her man.

At practice the guys aren't into ""Le Freak,"" the song Will has them working on for the upcoming assembly. Will tells them this performance is huge for attracting new members.

With Will's wife Terri pregnant, the couple looks for a new house near her family. Will is worried about the cost but they decide to go forward.

Will allows them to start working on ""Gold Digger"" by Kanye West to begin preparation for regionals.

Emma catches Rachel trying to throw up in the bathroom. Rachel wants to be thinner and prettier like Quinn. In advising Rachel, Emma continually makes reference to her feelings for Will.

Sue hauls Finn and Rachel in to see Principal Figgins after catching them using the Cheerios' copy machine to make fliers for glee club. Sue wants them thrown out of school but Figgins lets them off with just paying for the copies.

Rachel thinks doing ""Le Freak"" at the assembly is a terrible idea, and Finn is worried about what singing disco will do to his image.

Will tells Emma he can't find any extra work which might impact the quality of their house. Figgins lets Will take over a nighttime janitorial opening.

The celibacy club reluctantly lets in Rachel. During the boys half of the meeting we learn that Finn uses a car accident memory to keep from achieving orgasm too quickly. Rachel suggests contraception, which infuriates Quinn.

That night Emma runs into Will during his janitorial shift. While she helps him clean, Emma confides a childhood incident has left her hating messes. He helps her work through it and the two nearly kiss. Football coach Ken Tanaka sees the whole thing through the window.

Rachel arranges a Will-less glee club meeting. She suggests a sexually charged performance. Cut to the assembly. Will introducing the club, but is shocked to see a thrust and spank-heavy rendition of ""Push It.""

In Figgins' office, the principal and Sue rip Will for the inappropriate nature of the performance. Figgins won't shutdown glee, but the club must now pick from a pre-approved list.

Will is furious at Rachel for lying to him.

Ken approaches Emma at lunch. He tells her she should stop wasting her time fawning over a married man. He makes a case for her picking him.

Rachel help Finn practice. Afterwards the two share a meal and begin making-out. The interaction forces him to go to his car accident memory and he rushes out quickly.

Terri learns she is not with child. She is having a hysteric pregnancy wanting to get pregnant so badly her body mimics the symptoms.

Led by Quinn, several members of the Cheerios try out for glee with a performance of ""I Say a Little Prayer for You."" Sue finds out and Quinn admits she only did it to find out what is going on with Finn and Rachel. Sue likes the idea of having spies inside the glee club.

Emma tells Will they should cool it with the late-night meetings and tells him she has a date that night with Ken.

Will comes home that night. Terri lies about her doctor's appointment, saying they are having a boy.

Rachel is distraught when Will gives Quinn the solo in their next performance. Her disappointment leads to a teary rehearsal performance of ""Take a Bow."""
