episode_link,wiki_url,description,genres,age_rating,release_date,directors,writers,cast,tags,character_names,synopsis_with_character_names
https://www.imdb.com/title/tt16946026/?ref_=ttep_ep8,,"The mission with Max takes a dangerous turn as complications arise, bullets fly -- and Owen's personal and professional lives collide.",[],TV-MA,Release date,['Julian Holmes'],"['', '']",[],"['female team leader', 'recruit', 'tactical unit', 'female sniper', 'woman handcuffed', 'black puffer coat', 'puffer coat', 'black beanie', 'woman wears black leather gloves', 'black puffer jacket', 'puffer vest', 'shiny glossy jacket', 'white uniform', 'woman wears a white uniform', 'woman wears a snow uniform', 'snow uniform', 'camouflage pants', 'disruptive overwhite camouflage', 'camouflage snow pants', 'winter camouflage', 'army pants', 'white army pants', 'white beanie', 'white turtleneck sweater', 'white hoodie', 'gun holster', 'leg holster', 'white boots', 'woman wears white boots', 'snow boots', 'woman wears tactical vest', 'black vest', 'utility belt', 'woman wears a utility belt', 'woman wears a black belt', 'white gloves', 'woman wears white gloves', 'trolley case', 'female leader', 'black army pants', 'snow scenario', 'dead body in the snow', 'mercenary killed', 'mercenary team', 'military boots', 'woman wears army pants', 'woman wears military boots', 'black boots', 'reference to rudsak', 'down coat']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502628/?ref_=ttep_ep1,,Four aliens have taken on the human form and traveled to Earth in order to find out how humans live and what they do.,[],TV-PG,Release date,['James Burrows'],"['', '']",[],"['show of hands', 'sweater', 'kiss', 'man in a shower', 'man slaps woman', 'woman hits man', 'man hits woman', 'man slaps a woman', 'shower with clothes on', 'reference to mars the planet', 'reference to santa claus', 'woman slaps a man', 'slapped in the face', 'human alien kiss']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502703/?ref_=ttep_ep2,,The whole crew gets ill after Tommy catches a bug while kissing a girl.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],"['drinking medicine from a bottle', 'man wears underwear', 'sneeze', 'wedding', 'tango dancing', 'truth taken as a lie', 'speaking spanish', 'dancing couple', 'dance scene', 'pulling tablecloth from under dishes', 'sick', 'nasal spray', 'motherly instinct', 'dream sequence', 'group hug', 'giving a toast', 'wedding reception', 'shushing', 'penis caught in zipper', 'cough syrup', 'tissue', 'having a cold', 'chicken soup', 'eating a photograph', 'reference to martha stewart', 'hyphen in title', 'character name in episode title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502658/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt0502636/?ref_=ttep_ep4,,Sally has her very first date and Tommy starts going to high school.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],"['pantyhose', 'minidress', 'planet in episode title', 'crying woman', 'teacher', 'dating', 'first date', 'female bonding', 'male bonding', 'teenager', 'high school teacher', 'gym teacher', 'gym class', 'promise', 'telephone call', 'reference to that girl', 'woman singing', 'cleavage', 'sex discussion', 'college professor', 'high school student', 'bible', 'family relationships', 'stargazing', 'character name in title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502659/?ref_=ttep_ep5,,Dick takes up smoking and meanwhile Sally doesn't like to be overruled by Dick all the time.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502677/?ref_=ttep_ep6,,An old boyfriend of Dr. Albright shows up and Dick experiences what jealousy is.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],"['color in episode title', 'character name in title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502691/?ref_=ttep_ep7,,Dick feels very lonely because Dr. Albright is on holiday.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502627/?ref_=ttep_ep8,,An obnoxious professor dies and his will says he wants Dick to speak at his funeral.,[],TV-PG,Release date,['Robert Berlinger'],"['', '']",[],"['overalls', 'character name in title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502620/?ref_=ttep_ep9,,Dick doesn't want the family to always irritate each other and thinks they can learn from observing Dr. Albright and her brother Roy.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502741/?ref_=ttep_ep10,,Dick finds out people sometimes lie to get what they want and Sally and Harry find out how hard it is to get a driver's license.,[],TV-PG,Release date,['Robert Berlinger'],"['', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502723/?ref_=ttep_ep11,,"After failing everything he has tried so far, Harry turns out to be a good painter.",[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502672/?ref_=ttep_ep12,,"The Solomons have their first experience with snow and act appropriately, or so they think.",[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],"['snow', 'character name in title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502622/?ref_=ttep_ep13,,Dick wants the Solomons to meet the neighbors.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502728/?ref_=ttep_ep14,,Dr. Albright thinks Dick is actually an activist she met in the 1960's.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502684/?ref_=ttep_ep15,,Sally and Harry get a job and Dick feels kept out when he can't come to Dr. Albright and Nina's women-only study group.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],"['drag costume', 'character name in title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502638/?ref_=ttep_ep16,,The Solomons come to realize they don't belong to any ethnic group. Sally meets Mr. Randell.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502623/?ref_=ttep_ep17,,The Solomons' car radio is stolen and Dick is being robbed. Dick pushes Tommy to take up basketball. Sally meets Officer Don for the first time.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],"['basketball', 'car', 'character name in title']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt0502666/?ref_=ttep_ep18,,Harry acts upset and even a bit rebellious and Dick figures Harry needs a father figure. Sally meets Mr. Randell's mother.,[],TV-PG,Release date,['Robert Berlinger'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
