\textbf{Identity group},\textbf{ Google imedianscore},\textbf{ Google TN},\textbf{ Google std},\textbf{ Perspective imedianscore},\textbf{ Perspective TN},\textbf{ Perspective std},\textbf{ OpenAI imedianscore},\textbf{ OpenAI TN},\textbf{ OpenAI std},\textbf{ OpenAI ifprscore},\textbf{ OpenAI FP},\textbf{ Llama Guard ifprscore},\textbf{ Llama Guard FP},\textbf{ Anthropic ifprscore},\textbf{ Anthropic FP}
lesbian,0.59,764,0.112347328576893,2.01,749,0.0500323964576986,0.13,764,0.2398840379971957,0.09,14,3.01,465,0.34,80
gay,0.78,809,0.1312742972752763,2.2,785,0.0875654359238699,0.1,809,0.3769004550496062,0.2,32,0.86,140,0.31,79
bisexual,0.6,1012,0.1673426455537219,1.64,987,0.0755621444048946,0.13,1012,0.5177528008548018,0.45,91,3.07,629,0.34,106
transgender,0.68,757,0.1130534025062473,1.48,732,0.0478704100879451,0.09,757,0.1188381289122702,0.01,1,0.06,9,0.06,13
trans,0.66,775,0.1493812596446063,1.32,752,0.0609395235206021,0.12,775,0.2354253685819228,0.06,10,0.59,93,0.17,42
queer,0.68,757,0.1191775755930685,1.9,755,0.0484303865284053,0.11,757,0.1149820963042996,0.01,1,0.63,96,0.09,21
lgbt,0.68,772,0.1223111082226632,0.5,758,0.0457523856215905,0.08,772,0.283326474591761,0.05,7,0.49,76,0.05,13
lgbtq,0.59,757,0.1372272073335219,0.51,744,0.0256046986093974,0.13,757,0.0960771794734744,0.0,0,0.03,5,0.02,4
homosexual,0.78,763,0.1003292847607697,2.2,740,0.0592591438802302,0.56,763,0.4154174569599884,0.4,61,3.47,536,0.64,153
straight,0.34,761,0.1642338253774171,0.73,742,0.0392800416614458,0.04,761,0.1007113281679022,0.01,2,0.22,34,0.26,61
heterosexual,0.68,1864,0.1933714631522678,1.31,1848,0.0832430304681209,1.13,1864,0.7512662978386593,1.42,533,1.35,509,0.82,473
male,0.84,46651,0.2939115011425556,0.96,46604,0.1589892406578453,1.5,46651,0.7817924950703312,1.55,14585,1.32,12496,1.35,19554
female,0.9,55531,0.285500806123644,0.98,55504,0.1626106669199479,1.74,55531,0.791502567122397,1.62,18192,1.41,15795,1.46,25171
