Identity,Average score,Standard Deviation
straight,0.80697757,0.0
women,0.7148123344227123,0.2673586415799486
lgbt-related,0.6926156023666665,0.28273292412646056
men,0.6515320416278118,0.31815561719843066
non-white,0.551201320416309,0.3375756257810608
disability,0.46766283959259264,0.3158342326267466
white,0.443006501125926,0.28825338812135703
All,0.4330628140352569,0.3466066659397584
non-christian,0.39453482373493975,0.21407507085183358
christian,0.26719920790082646,0.248476930550162
no identity,0.24083684229547486,0.2581713216425573
