Identity,Average score,Standard Deviation
non-white,0.4862338557722772,0.27014402344823546
lgbt-related,0.4719560044520548,0.26932566472700237
women,0.42624099222564105,0.29364681655278396
disability,0.4111283013928571,0.24036502062834966
men,0.39715647976636714,0.274303496013073
white,0.3909919305344828,0.25161041296275816
christian,0.38095179630693077,0.24434258968351075
non-christian,0.37743521448809514,0.1864679324669344
All,0.2989230726287234,0.2712603456666204
no identity,0.2797762193043191,0.2651200772563702
straight,0.11514974,0.03829515
