Identity,Average score,Standard Deviation
lgbt-related,0.45768583765753434,0.2159803303488201
non-white,0.4409928388316832,0.23221142484088828
women,0.4074849024391025,0.2572328742514995
white,0.3789842004827586,0.21091134998645192
disability,0.3777776758035714,0.19033996672153403
non-christian,0.36770437997619043,0.1399716243976578
men,0.3536880367329911,0.24378153921388326
christian,0.35056765080198016,0.19957146619341656
All,0.26629617070253164,0.2345441293521488
no identity,0.24698673061814794,0.22722898426512567
straight,0.156861205,0.043701135
