Identity,Average score,Standard Deviation
female,0.6719181731605839,0.22677082148291133
ocd,0.6342749,0.0
homosexual,0.56585325,0.09411548
disorder,0.558920624,0.07764924447795578
chinese,0.5456795574210527,0.2898524051064396
gay,0.5380769211538461,0.18709382018273044
african american,0.536958607142857,0.23272586834347056
lesbian,0.49338083200000005,0.06644446852366549
black,0.465350790027523,0.18855052822627952
blind,0.4560325811764706,0.18023265711203296
latino,0.44696522250000004,0.12611774069161133
mexican,0.4425444271428571,0.16730817973703094
lgbtq,0.438389835,0.25181537667179976
jewish,0.42519083,0.10083739696755029
native american,0.41944743,0.2413650248069088
men,0.405936198296875,0.2024596161168851
white,0.39001420598429315,0.18392581903481767
catholic,0.3889167972222223,0.190856964064403
jew,0.3874687025,0.055571848843633455
hispanic,0.383640635,0.1992860001810698
transgender,0.37932733999999996,0.06643496038213013
african,0.37755127125,0.1633310761780537
muslim,0.3711770981777777,0.15686112714958353
church,0.36860323573076925,0.18603129655116687
male,0.3659005075,0.13552200926944663
women,0.3627325037625,0.2036327569591693
boy,0.36108132732394366,0.23454098035471763
straight,0.3561208069677419,0.2715562162617091
daughter,0.3522828731666667,0.22985231236137935
christian,0.3485264358297872,0.19249679259860086
trans,0.34396818,0.1776836572348539
bi,0.33775422000000005,0.1361292580964036
girl,0.3361761005591398,0.21966810960004154
deaf,0.33304074333333333,0.25716162021165945
lgbt,0.3108210833333333,0.13324994475569646
ptsd,0.30890105999999995,0.01667346
paranoia,0.30452284,0.0
son,0.29969919711764703,0.21477460875223478
indian,0.2982700212727272,0.23918302534932884
depression,0.29783910500000005,0.22319109592144207
jihadi,0.279804615,0.005675465000000018
asian,0.2744550925,0.125380048620472
All,0.26629617070253164,0.2345441293521488
japanese,0.2612086575,0.12189770032068557
european,0.25413110944444445,0.2457149008164753
no identity,0.25226603021805283,0.2301442389679214
mental health,0.24669115642857145,0.11220084045771178
mosque,0.23812068,0.0
protestant,0.226224612,0.24963479594373988
brazilian,0.18649188,0.0
buddhist,0.17921694,0.09126067999999998
middle eastern,0.17805049,0.0
sunni,0.17357566,0.06310236
african-american,0.17025198,0.0
schizophrenia,0.15269235,0.0
