Dataset,ME,Category,Identity,Benchmark score,Dataset score,Other scores
Dixon,OctoAI,FPR,taoist,0.2591,0.0432,"{'lesbian': 0.0, 'gay': 0.0, 'bisexual': 0.0, 'transgender': 0.0, 'trans': 0.0, 'queer': 0.0, 'lgbt': 0.0, 'lgbtq': 0.0, 'homosexual': 0.0, 'straight': 0.0959, 'heterosexual': 0.0, 'male': 0.0719, 'female': 0.0014, 'nonbinary': 0.032, 'african': 0.0, 'african american': 0.0, 'black': 0.0326, 'white': 0.0108, 'european': 0.0, 'hispanic': 0.0, 'latino': 0.0, 'latina': 0.0, 'latinx': 0.0, 'mexican': 0.0, 'asian': 0.0, 'indian': 0.0, 'middle eastern': 0.0, 'chinese': 0.0, 'japanese': 0.0091, 'christian': 0.0, 'muslim': 0.0, 'jewish': 0.0, 'buddhist': 0.1333, 'catholic': 0.1024, 'protestant': 0.0, 'sikh': 0.0, 'taoist': 0.2591, 'blind': 0.167, 'deaf': 0.0, 'paralyzed': 0.2002}"
Movie plots,OpenAI,FPR <= G,disability,0.0769,0.0084,"{'women': 0.0165, 'lgbt-related': 0.0, 'disability': 0.0769, 'non-white': 0.0, 'no identity': 0.0, 'christian': 0.0, 'non-christian': 0.0, 'white': 0.0, 'men': 0.0263, 'straight': 0.0}"
Movie plots,OpenAI,FPR <= PG,lgbt-related,0.1351,0.0353,"{'women': 0.051, 'lgbt-related': 0.1351, 'disability': 0.0625, 'non-white': 0.026, 'no identity': 0.0226, 'christian': 0.0104, 'non-christian': 0.0286, 'white': 0.0256, 'men': 0.0284, 'straight': 0.045}"
Movie plots,OpenAI,FPR <= PG-13,lgbt-related,0.1318,0.0743,"{'women': 0.0869, 'lgbt-related': 0.1318, 'disability': 0.1227, 'non-white': 0.0713, 'no identity': 0.0604, 'christian': 0.0299, 'non-christian': 0.1059, 'white': 0.0184, 'men': 0.0619, 'straight': 0.0797}"
Movie plots,OpenAI,FPR <= R,lgbt-related,0.3472,0.2184,"{'women': 0.2207, 'lgbt-related': 0.3472, 'disability': 0.3433, 'non-white': 0.2026, 'no identity': 0.2114, 'christian': 0.1516, 'non-christian': 0.2749, 'white': 0.1679, 'men': 0.188, 'straight': 0.1383}"
Movie plots,OpenAI,FPR <= NC-17,lgbt-related,0.3553,0.2203,"{'women': 0.2228, 'lgbt-related': 0.3553, 'disability': 0.3468, 'non-white': 0.2041, 'no identity': 0.2132, 'christian': 0.1551, 'non-christian': 0.2749, 'white': 0.1673, 'men': 0.188, 'straight': 0.1383}"
Movie plots,OctoAI,FPR <= G,women,0.0,0.0,"{'women': 0.0, 'lgbt-related': 0.0, 'disability': 0.0, 'non-white': 0.0, 'no identity': 0.0, 'christian': 0.0, 'non-christian': 0.0, 'white': 0.0, 'men': 0.0, 'straight': 0.0}"
Movie plots,OctoAI,FPR <= PG,disability,0.0156,0.0014,"{'women': 0.0031, 'lgbt-related': 0.0, 'disability': 0.0156, 'non-white': 0.0, 'no identity': 0.0, 'christian': 0.0, 'non-christian': 0.0, 'white': 0.0128, 'men': 0.0, 'straight': 0.009}"
Movie plots,OctoAI,FPR <= PG-13,disability,0.0136,0.0022,"{'women': 0.0033, 'lgbt-related': 0.0, 'disability': 0.0136, 'non-white': 0.0, 'no identity': 0.0011, 'christian': 0.0, 'non-christian': 0.0118, 'white': 0.0061, 'men': 0.0, 'straight': 0.0033}"
Movie plots,OctoAI,FPR <= R,lgbt-related,0.0518,0.0189,"{'women': 0.015, 'lgbt-related': 0.0518, 'disability': 0.03, 'non-white': 0.014, 'no identity': 0.0221, 'christian': 0.0205, 'non-christian': 0.0142, 'white': 0.0037, 'men': 0.0028, 'straight': 0.034}"
Movie plots,OctoAI,FPR <= NC-17,lgbt-related,0.0635,0.0202,"{'women': 0.0168, 'lgbt-related': 0.0635, 'disability': 0.0319, 'non-white': 0.0149, 'no identity': 0.0221, 'christian': 0.0245, 'non-christian': 0.0142, 'white': 0.0037, 'men': 0.0028, 'straight': 0.034}"
Dixon,OpenAI,FPR,deaf,0.074,0.2815,"{'blind': 0.0383, 'deaf': 0.074, 'paralyzed': 0.0238}"
Stormfront,OpenAI,FPR,other,1.0,0.1211,"{'white': 0.5588, 'asian': 0.3704, 'poc': 0.75, 'physical': 0.6364, 'other': 1.0, 'female': 0.2465, 'native american': 0.2857, 'latino': 0.3333, 'black': 0.4828, 'muslim': 0.5897, 'sikh': 0.0, 'jewish': 0.5493, 'christian': 0.3019, 'middle eastern': 0.4231, 'mexican': 0.5, 'mental': 0.0, 'male': 0.2261, 'indian': 0.5714, 'gay': 0.2917, 'european': 0.3, 'lesbian': 0.0, 'african': 0.5, 'lgbt-related': 0.6923, 'homosexual': 0.8, 'lgbt': 0.0, 'chinese': 0.6667, 'japanese': 0.3333, 'straight': 1.0, 'bisexual': 0.0, 'trans': 0.0, 'african american': 0.1429, 'No identity': 0.0876}"
Stormfront,OctoAI,FPR,straight,1.0,0.3022,"{'non-white': 0.681, 'white': 0.8308, 'disability': 0.5, 'non-christian': 0.7333, 'women': 0.5163, 'christian': 0.3962, 'men': 0.4557, 'lgbt-related': 0.7636, 'straight': 1.0, 'No identity': 0.257}"
Stormfront,Anthropic,FPR,straight,1.0,0.3245,"{'non-white': 0.681, 'white': 0.7897, 'disability': 0.625, 'non-christian': 0.8667, 'women': 0.5605, 'christian': 0.4528, 'men': 0.4991, 'lgbt-related': 0.7818, 'straight': 1.0, 'No identity': 0.277}"
Markov,OpenAI,FPR,poc,1.0,0.1399,"{'white': 0.4167, 'female': 0.3006, 'trans': 0.5, 'male': 0.2816, 'lgbt': 0.5, 'lgbt-related': 0.25, 'bisexual': 0.1667, 'gay': 0.1667, 'muslim': 0.56, 'straight': 0.3333, 'middle eastern': 0.6, 'sikh': 0.0, 'poc': 1.0, 'physical': 0.3, 'latino': 0.8, 'other': 0.5, 'mental': 0.2105, 'native american': 0.0, 'black': 0.3333, 'european': 0.3, 'christian': 0.4211, 'protestant': 0.5, 'asian': 0.2857, 'jewish': 0.6667, 'indian': 0.0, 'lesbian': 0.0, 'homosexual': 0.5, 'african american': 0.0, 'african': 0, 'chinese': 0.0, 'buddhism': 0.0, 'No identity': 0.0695}"
Markov,OctoAI,FPR,lgbt-related,0.4706,0.1658,"{'women': 0.2659, 'white': 0.2273, 'lgbt-related': 0.4706, 'men': 0.2414, 'non-christian': 0.4615, 'straight': 0.0, 'non-white': 0.3333, 'disability': 0.1724, 'christian': 0.1905, 'No identity': 0.1226}"
Markov,Anthropic,FPR,poc,1.0,0.3092,"{'white': 0.75, 'female': 0.5954, 'trans': 0.7, 'male': 0.546, 'lgbt': 0.5, 'lgbt-related': 0.8333, 'bisexual': 0.6667, 'gay': 0.75, 'muslim': 0.8, 'straight': 0.0, 'middle eastern': 0.7, 'sikh': 0.0, 'poc': 1.0, 'physical': 0.7, 'latino': 0.8, 'other': 0.5, 'mental': 0.1579, 'native american': 1.0, 'black': 0.6, 'european': 0.3, 'christian': 0.6842, 'protestant': 1.0, 'asian': 0.4643, 'jewish': 0.8333, 'indian': 0.6667, 'lesbian': 0.5, 'homosexual': 0.5, 'african american': 0.0, 'african': 0, 'chinese': 0.3333, 'buddhism': 0.0, 'No identity': 0.2048}"
Tweets,OpenAI,FPR,homosexual,1.0,0.1333,"{'white': 0.4737, 'latino': 0.3333, 'black': 0.48, 'No identity': 0.1175, 'female': 0.2126, 'lgbt': 0.5, 'poc': 0.6154, 'christian': 0.3793, 'male': 0.2252, 'muslim': 0.5, 'gay': 0.5455, 'chinese': 0.0, 'jewish': 0.5556, 'lgbt-related': 0.5714, 'lesbian': 0.5, 'mental': 0.0588, 'african': 0.0, 'middle eastern': 0.2222, 'physical': 0.4167, 'asian': 0.3333, 'african american': 0.5, 'european': 0.2, 'homosexual': 1.0, 'protestant': 0.0, 'trans': 0.2222, 'bisexual': 0.0, 'indian': 0.0, 'straight': 0.0, 'buddhism': 0.0, 'native american': 0, 'japanese': 0.0}"
Tweets,OctoAI,FPR,lesbian,1.0,0.2323,"{'white': 0.3684, 'latino': 0.6, 'black': 0.7067, 'No identity': 0.2123, 'female': 0.3412, 'lgbt': 0.5, 'poc': 0.7692, 'christian': 0.5172, 'male': 0.3223, 'muslim': 0.8, 'gay': 0.4545, 'chinese': 0.3333, 'jewish': 0.6667, 'lgbt-related': 0.5714, 'lesbian': 1.0, 'mental': 0.1765, 'african': 0.0, 'middle eastern': 0.3333, 'physical': 0.5833, 'asian': 0.5556, 'african american': 1.0, 'european': 0.2, 'homosexual': 0.0, 'protestant': 0.0, 'trans': 0.5556, 'bisexual': 0.3333, 'indian': 0.5, 'straight': 0.5, 'buddhism': 0.0, 'native american': 0, 'japanese': 1.0}"
