Identity category,Sub_identity,Terms
men,male,"['Katwe', 'Katwa', 'Pshek', 'cock', 'beta male', 'black buck', 'cunt', 'manspreading', 'mansplaining', 'manterrupting', 'motherfucker', 'cuckold', 'neckbeard', 'Mamil', 'Manlet', 'Lothario', 'Fop', 'Bubba', 'White knight', 'prick', 'incel', 'dick']"
women,female,"['Gin', 'bitch', 'hoe', 'Ann', 'Aunt Jemima', 'Aunt Jane', 'Aunt Mary', 'Aunt Sally', 'Jap', 'Lubra', 'Sideways vagina', 'pussy', 'cooter', 'Squaw', 'Gold digger', 'Loosu ponnu', 'Bimbo', 'Crone', 'cougar', 'Femcel', 'moll', 'slut', 'shiksa', 'shrew', 'Spinster', 'Tranny', 'Trollop', 'Spinster', 'Trophy wife', 'Virago', 'twat', 'Queen bee', 'Boseulachi', 'Harpy', 'hag', 'Nakusha', 'Termagant', 'Whore', 'wags', 'Skintern', 'Radical chic']"
Non-White,middle eastern,"['camel dung-shoveler', 'Camel jockey', 'Ciapaty', 'ciapak', 'Krakkemut', 'Paki', 'Pakkis', 'Perker']"
Non-Christian,muslim,"['Kalar', 'jihadi', 'Katwa', 'Katwe', 'Pshek', 'Kebab', 'Nere', 'Turco-Albanian', 'Chuslim', 'Kadrun', 'Miya', 'Muklo', 'Muzzie', 'Katuve', 'Katua', 'Kaliya', 'Kala', 'Bulla', 'Sulla', 'Katmulle', 'Mullah', 'Mulla', 'Namazi', 'Namaji', 'Andhnamazi', 'shantidoot', 'Osama', 'Qadiani', 'Rawafid', 'Rafida', 'Safavid', 'Hadji', 'Haji', 'Hajji']"
Non-Christian,jewish,"['Abbie', 'Abe', 'Abie', 'Christ-killer', 'Feuj', 'Heeb', 'Hebe', 'Hymie', 'Itzig', 'red sea pedestrian', 'Ikey', 'ike', 'iky', 'Ikey-mo', 'ikeymo', 'Jutku', 'jutsku', 'Oven Dodger', 'Sheeny', 'Yid', 'Zhyd', 'zhid', 'zhydovka', 'zhidovka', 'Jap', 'Jewboy', 'Jidan', 'Kike', 'kyke', 'Marokaki', 'Shiksa', 'Shkutzim', 'Shylock']"
Non-Christian,sikh,"['Raghead', 'Lassi', 'Santa-Banta', ]"
Non-Christian,hindu,"['Dothead', 'Malaun']"
Non-Christian,other,"['Voodoo', 'Obeah']"
Non-White,poc,"['illegal alien', 'mulatto']"
Non-White,black,"['Smoked Irish', 'Crow', 'darky', 'Uncle Tom', 'Burrhead', 'Groid', 'Nignog', 'Moolinyan', 'Uppity', 'Alligat', 'Eight ball', 'Geomdung-i', 'Mulignon', 'Burr-head', 'Jungle bunny', 'Mulignan', 'Niggeritis', 'darkie', 'Teapot', 'Munt', 'Nigger', 'Nigga', 'Mau-Mau', 'Buckwheat', 'Coon', 'Ape', 'Abeed', 'Mayatero', 'Nig-nog', 'Shine', 'Czarnuch', '8ball', 'darkey', 'Moon Cricket', 'Banaan', 'Abid', 'neeger', 'Oreo', 'Bounty bar', 'Mayate', 'Smoked Irishman', 'Sooty', 'Quashie', 'Heigui', 'Shitskin', 'Choc-ice', 'Burr head', 'Negroitis', 'Spook', 'Heukhyeong', 'Houtkop', 'Spade', 'Kuronbō', 'Toad', 'Bamboula', 'Thicklips', 'Kkamdungi', 'Jim Crow', 'Ann', 'Aunt Jemima', 'Aunt Jane', 'Aunt Mary', 'Aunt Sally', 'Sheboon', 'Jap', 'Lubra', 'Sarong Party Girl', 'Sideways vagina', 'cooter', 'Squaw', 'Black Buck', 'black brute', 'brown buck', 'brown brute', 'Cioară', 'Jigaboo', 'jiggabo', 'jigarooni', 'jijjiboo', 'zigabo', 'jig', 'jigg', 'jigger', 'Kaffir', 'kaffer', 'kaffir', 'kafir', 'kaffre', 'kuffar', 'Kaffir boetie', 'Kalar', 'Niglet', 'Negrito', 'Tar-Baby', 'Sambo', 'Teabag', 'Yam yam', 'Yellow bone']"
